"","Date","meanT","meanD"
"1",2005-10-01,15.4,219
"2",2005-10-02,16.15,201
"3",2005-10-03,16.275,201
"4",2005-10-04,16.125,201
"5",2005-10-05,16.45,201
"6",2005-10-06,16.75,202
"7",2005-10-07,16.7,204
"8",2005-10-08,16.475,204
"9",2005-10-09,16.45,203
"10",2005-10-10,16.8,201
"11",2005-10-11,16.8,201
"12",2005-10-12,16.65,201
"13",2005-10-13,16.7,201
"14",2005-10-14,16.325,201
"15",2005-10-15,15.925,201
"16",2005-10-16,15.45,201
"17",2005-10-17,15.1,203
"18",2005-10-18,15.1,202
"19",2005-10-19,15.3,181
"20",2005-10-20,NA,200
"21",2005-10-21,16.1,199
"22",2005-10-22,15.3,199
"23",2005-10-23,14.7,198
"24",2005-10-24,14.125,199
"25",2005-10-25,13.375,199
"26",2005-10-26,13.225,199
"27",2005-10-27,13.4,199
"28",2005-10-28,13.65,198
"29",2005-10-29,13.45,199
"30",2005-10-30,13.45,199
"31",2005-10-31,13.625,198
"32",2005-11-01,13.625,183
"33",2005-11-02,14.2,167
"34",2005-11-03,14,168
"35",2005-11-04,14.2,167
"36",2005-11-05,14.675,167
"37",2005-11-06,15.05,168
"38",2005-11-07,14.675,167
"39",2005-11-08,13.975,167
"40",2005-11-09,14.875,168
"41",2005-11-10,14.25,169
"42",2005-11-11,12.525,169
"43",2005-11-12,12.55,168
"44",2005-11-13,12.825,168
"45",2005-11-14,14.025,167
"46",2005-11-15,14.775,167
"47",2005-11-16,14.5,167
"48",2005-11-17,12.575,167
"49",2005-11-18,11.075,168
"50",2005-11-19,10.775,167
"51",2005-11-20,11.525,168
"52",2005-11-21,11.875,167
"53",2005-11-22,11.375,167
"54",2005-11-23,10.6,168
"55",2005-11-24,10.55,167
"56",2005-11-25,9.65,167
"57",2005-11-26,9.175,167
"58",2005-11-27,9.775,167
"59",2005-11-28,10.9,167
"60",2005-11-29,12.025,168
"61",2005-11-30,11.225,171
"62",2005-12-01,10.3,173
"63",2005-12-02,9.5,175
"64",2005-12-03,8.7,175
"65",2005-12-04,9.35,175
"66",2005-12-05,9.275,176
"67",2005-12-06,8.65,172
"68",2005-12-07,7.975,167
"69",2005-12-08,7.65,167
"70",2005-12-09,7.425,168
"71",2005-12-10,7.025,167
"72",2005-12-11,7.15,167
"73",2005-12-12,7.475,167
"74",2005-12-13,7.1,167
"75",2005-12-14,6.575,167
"76",2005-12-15,6.275,167
"77",2005-12-16,6.575,167
"78",2005-12-17,6.8,168
"79",2005-12-18,6.925,167
"80",2005-12-19,6.45,168
"81",2005-12-20,5.675,167
"82",2005-12-21,5.225,167
"83",2005-12-22,5.35,168
"84",2005-12-23,5.55,167
"85",2005-12-24,5.925,167
"86",2005-12-25,6.9,167
"87",2005-12-26,7.75,173
"88",2005-12-27,7.325,175
"89",2005-12-28,6.9,175
"90",2005-12-29,7.075,172
"91",2005-12-30,6.625,170
"92",2005-12-31,6.725,170
"93",2006-01-01,6.55,170
"94",2006-01-02,6.225,172
"95",2006-01-03,6.65,173
"96",2006-01-04,7.2,173
"97",2006-01-05,6.875,173
"98",2006-01-06,6.125,173
"99",2006-01-07,5.575,173
"100",2006-01-08,5.45,173
"101",2006-01-09,5.925,173
"102",2006-01-10,6.325,173
"103",2006-01-11,6.925,174
"104",2006-01-12,6.35,176
"105",2006-01-13,6.25,176
"106",2006-01-14,6.275,637
"107",2006-01-15,5.5,1130
"108",2006-01-16,5.425,1130
"109",2006-01-17,5.6,1120
"110",2006-01-18,5.5,1120
