"","Date","meanT","meanD"
"1",1998-10-01,16.025,219
"2",1998-10-02,15.025,202
"3",1998-10-03,14.475,202
"4",1998-10-04,15.125,202
"5",1998-10-05,15.85,202
"6",1998-10-06,15.6,202
"7",1998-10-07,NA,202
"8",1998-10-08,15.325,202
"9",1998-10-09,14.875,202
"10",1998-10-10,15,202
"11",1998-10-11,14.9,202
"12",1998-10-12,14.825,201
"13",1998-10-13,14.775,201
"14",1998-10-14,14.375,202
"15",1998-10-15,13.9,201
"16",1998-10-16,14,201
"17",1998-10-17,14.375,201
"18",1998-10-18,14.675,201
"19",1998-10-19,15.05,201
"20",1998-10-20,14.575,201
"21",1998-10-21,13.825,201
"22",1998-10-22,13.175,201
"23",1998-10-23,12.55,201
"24",1998-10-24,12.85,201
"25",1998-10-25,12.8,201
"26",1998-10-26,NA,200
"27",1998-10-27,NA,198
"28",1998-10-28,NA,198
"29",1998-10-29,NA,199
"30",1998-10-30,NA,199
"31",1998-10-31,NA,199
"32",1998-11-01,13.6,199
"33",1998-11-02,NA,199
"34",1998-11-03,13.175,167
"35",1998-11-04,12.625,166
"36",1998-11-05,11.825,169
"37",1998-11-06,11.2,171
"38",1998-11-07,11.4,170
"39",1998-11-08,11.2,170
"40",1998-11-09,11.85,170
"41",1998-11-10,12.6,170
"42",1998-11-11,13.05,170
"43",1998-11-12,11.975,170
"44",1998-11-13,11.55,170
"45",1998-11-14,NA,170
"46",1998-11-15,NA,170
"47",1998-11-16,11.8,170
"48",1998-11-17,11.725,170
"49",1998-11-18,11.3,170
"50",1998-11-19,11.175,170
"51",1998-11-20,11.6,170
"52",1998-11-21,10.825,169
"53",1998-11-22,9.9,169
"54",1998-11-23,10,168
"55",1998-11-24,11.275,167
"56",1998-11-25,10.45,167
"57",1998-11-26,10.9,168
"58",1998-11-27,10.65,167
"59",1998-11-28,10.3,167
"60",1998-11-29,10.225,167
"61",1998-11-30,10.425,167
"62",1998-12-01,10.925,167
"63",1998-12-02,10.025,167
"64",1998-12-03,9.9,167
"65",1998-12-04,10.725,167
"66",1998-12-05,10.675,167
"67",1998-12-06,11.275,168
"68",1998-12-07,11.3,167
"69",1998-12-08,11.525,167
"70",1998-12-09,10.9,167
"71",1998-12-10,9.9,167
"72",1998-12-11,9.6,167
"73",1998-12-12,9.2,167
"74",1998-12-13,9.5,167
"75",1998-12-14,9.375,167
"76",1998-12-15,8.625,167
"77",1998-12-16,8.675,166
"78",1998-12-17,8.675,165
"79",1998-12-18,8.125,165
"80",1998-12-19,8.375,167
"81",1998-12-20,9.3,168
"82",1998-12-21,NA,168
"83",1998-12-22,8.875,167
"84",1998-12-23,NA,167
"85",1998-12-24,NA,167
"86",1998-12-25,6.775,168
"87",1998-12-26,6.35,168
"88",1998-12-27,6.25,168
"89",1998-12-28,6.825,167
"90",1998-12-29,7.2,167
"91",1998-12-30,6.5,167
"92",1998-12-31,5.525,167
"93",1999-01-01,5.425,167
"94",1999-01-02,5.2,167
"95",1999-01-03,5.45,168
"96",1999-01-04,5.225,167
"97",1999-01-05,4.3,168
