"","Date","meanT","meanD"
"1",2000-10-01,15.475,222
"2",2000-10-02,15.6,205
"3",2000-10-03,16,194
"4",2000-10-04,16.625,190
"5",2000-10-05,16.9,190
"6",2000-10-06,16.225,190
"7",2000-10-07,15.075,190
"8",2000-10-08,13.925,190
"9",2000-10-09,13.225,192
"10",2000-10-10,13.225,193
"11",2000-10-11,13.6,191
"12",2000-10-12,13.8,193
"13",2000-10-13,13.85,198
"14",2000-10-14,13.85,198
"15",2000-10-15,14.275,198
"16",2000-10-16,14.725,198
"17",2000-10-17,15.175,198
"18",2000-10-18,15.225,198
"19",2000-10-19,14.5,199
"20",2000-10-20,14.25,198
"21",2000-10-21,14.475,198
"22",2000-10-22,14.825,198
"23",2000-10-23,14.725,198
"24",2000-10-24,14.475,198
"25",2000-10-25,14.925,198
"26",2000-10-26,15,198
"27",2000-10-27,14.6,198
"28",2000-10-28,14.45,198
"29",2000-10-29,13.475,198
"30",2000-10-30,12.85,197
"31",2000-10-31,12.725,196
"32",2000-11-01,12.65,195
"33",2000-11-02,12.675,162
"34",2000-11-03,13,170
"35",2000-11-04,13.375,170
"36",2000-11-05,12.825,170
"37",2000-11-06,12.025,170
"38",2000-11-07,12.45,170
"39",2000-11-08,NA,170
"40",2000-11-09,13.55,170
"41",2000-11-10,13.05,170
"42",2000-11-11,12.225,170
"43",2000-11-12,11.875,170
"44",2000-11-13,11.675,170
"45",2000-11-14,NA,170
"46",2000-11-15,11,168
"47",2000-11-16,10.475,167
"48",2000-11-17,11.175,167
"49",2000-11-18,10.625,168
"50",2000-11-19,NA,170
"51",2000-11-20,9.575,169
"52",2000-11-21,9.25,170
"53",2000-11-22,8.675,171
"54",2000-11-23,8.7,171
"55",2000-11-24,8.9,170
"56",2000-11-25,9.2,170
"57",2000-11-26,9.775,170
"58",2000-11-27,10.1,170
"59",2000-11-28,9.45,170
"60",2000-11-29,8.75,170
"61",2000-11-30,8.4,170
"62",2000-12-01,8.525,170
"63",2000-12-02,8.525,170
"64",2000-12-03,7.85,170
"65",2000-12-04,7.15,170
"66",2000-12-05,7.225,170
"67",2000-12-06,7.05,170
"68",2000-12-07,7.175,170
"69",2000-12-08,7.45,170
"70",2000-12-09,7.4,169
"71",2000-12-10,7.125,170
"72",2000-12-11,7.225,170
"73",2000-12-12,NA,168
"74",2000-12-13,6.4,169
"75",2000-12-14,6.25,168
"76",2000-12-15,7.025,167
"77",2000-12-16,7.15,167
"78",2000-12-17,7.175,168
"79",2000-12-18,6.325,170
"80",2000-12-19,5.9,170
"81",2000-12-20,5.325,170
"82",2000-12-21,5.25,170
"83",2000-12-22,NA,170
"84",2000-12-23,NA,170
"85",2000-12-24,4.75,170
"86",2000-12-25,NA,170
"87",2000-12-26,NA,170
"88",2000-12-27,NA,170
"89",2000-12-28,4.675,170
"90",2000-12-29,4.3,170
"91",2000-12-30,4.25,170
"92",2000-12-31,3.9,170
"93",2001-01-01,3.925,170
"94",2001-01-02,NA,170
"95",2001-01-03,NA,170
"96",2001-01-04,3.55,170
"97",2001-01-05,3.825,170
"98",2001-01-06,4.075,170
"99",2001-01-07,3.75,170
"100",2001-01-08,3.9,170
"101",2001-01-09,3.475,170
"102",2001-01-10,3.05,170
"103",2001-01-11,3.025,170
"104",2001-01-12,3.825,170
"105",2001-01-13,3.6,170
"106",2001-01-14,3.675,170
"107",2001-01-15,4.375,170
"108",2001-01-16,4.225,170
"109",2001-01-17,3.85,170
"110",2001-01-18,3.9,170
"111",2001-01-19,4.25,170
"112",2001-01-20,4.25,170
"113",2001-01-21,3.6,170
"114",2001-01-22,3.25,170
"115",2001-01-23,3.3,170
"116",2001-01-24,4,170
"117",2001-01-25,3.675,170
"118",2001-01-26,3.175,170
"119",2001-01-27,4.125,170
"120",2001-01-28,3.525,170
"121",2001-01-29,4.15,170
"122",2001-01-30,5.075,169
"123",2001-01-31,4.675,167
"124",2001-02-01,4.4,167
"125",2001-02-02,3.9,167
"126",2001-02-03,3.35,168
"127",2001-02-04,3.525,169
"128",2001-02-05,4.25,170
"129",2001-02-06,4.525,170
"130",2001-02-07,4.825,170
"131",2001-02-08,5.075,170
"132",2001-02-09,5.35,170
"133",2001-02-10,5.55,170
"134",2001-02-11,4.65,170
"135",2001-02-12,4.375,170
"136",2001-02-13,4.75,170
"137",2001-02-14,5.475,170
"138",2001-02-15,6.025,170
"139",2001-02-16,6.125,170
"140",2001-02-17,5.65,170
"141",2001-02-18,4.825,170
"142",2001-02-19,4.65,170
"143",2001-02-20,5.225,170
"144",2001-02-21,5.9,170
"145",2001-02-22,5.025,170
"146",2001-02-23,4.85,284
"147",2001-02-24,5.15,267
"148",2001-02-25,5.75,207
"149",2001-02-26,NA,263
"150",2001-02-27,NA,296
"151",2001-02-28,NA,232
"152",2001-03-01,NA,184
"153",2001-03-02,5.95,186
"154",2001-03-03,6.125,187
"155",2001-03-04,6.2,385
"156",2001-03-05,5.8,372
"157",2001-03-06,5.375,222
"158",2001-03-07,5.325,188
"159",2001-03-08,5.45,188
"160",2001-03-09,5.925,187
"161",2001-03-10,5.75,187
"162",2001-03-11,6.05,187
"163",2001-03-12,6.45,187
"164",2001-03-13,6.975,187
"165",2001-03-14,7.275,187
"166",2001-03-15,6.925,187
"167",2001-03-16,6.325,449
"168",2001-03-17,6.075,720
"169",2001-03-18,6.275,773
"170",2001-03-19,6.1,680
"171",2001-03-20,5.975,624
"172",2001-03-21,NA,429
"173",2001-03-22,6.525,1190
"174",2001-03-23,6.325,2130
"175",2001-03-24,6.275,1410
"176",2001-03-25,6.525,757
"177",2001-03-26,6.35,550
"178",2001-03-27,6.15,508
"179",2001-03-28,6.425,508
"180",2001-03-29,6.7,508
"181",2001-03-30,6.9,870
"182",2001-03-31,7.225,1080
"183",2001-04-01,7,1080
"184",2001-04-02,7.525,1080
"185",2001-04-03,7.425,1080
"186",2001-04-04,7.35,1080
"187",2001-04-05,7.75,884
"188",2001-04-06,7.95,594
"189",2001-04-07,8.7,468
"190",2001-04-08,9.425,609
"191",2001-04-09,8.975,860
"192",2001-04-10,8.775,905
"193",2001-04-11,9.3,913
"194",2001-04-12,9.2,916
"195",2001-04-13,9.25,916
"196",2001-04-14,10.05,645
"197",2001-04-15,9.95,370
"198",2001-04-16,10.325,304
"199",2001-04-17,10,306
"200",2001-04-18,9.625,307
"201",2001-04-19,9.825,344
"202",2001-04-20,9.375,364
"203",2001-04-21,9.85,364
"204",2001-04-22,10.725,275
"205",2001-04-23,11.95,216
"206",2001-04-24,11.85,214
"207",2001-04-25,11.425,214
"208",2001-04-26,11.55,214
"209",2001-04-27,11.875,214
"210",2001-04-28,12.475,214
"211",2001-04-29,12.05,214
"212",2001-04-30,12.225,230
"213",2001-05-01,12.525,242
"214",2001-05-02,12.8,236
"215",2001-05-03,13.35,236
"216",2001-05-04,13.65,236
"217",2001-05-05,13.275,236
"218",2001-05-06,13.225,236
"219",2001-05-07,13.1,236
"220",2001-05-08,12.7,236
"221",2001-05-09,13.2,237
"222",2001-05-10,13.85,236
"223",2001-05-11,14.025,236
"224",2001-05-12,13.7,236
"225",2001-05-13,13.7,236
"226",2001-05-14,14.3,241
"227",2001-05-15,14.65,244
"228",2001-05-16,14.35,242
"229",2001-05-17,14.1,238
"230",2001-05-18,14.75,234
"231",2001-05-19,15.525,233
"232",2001-05-20,15.575,234
"233",2001-05-21,13.9,715
"234",2001-05-22,12.35,1070
"235",2001-05-23,11.1,2030
"236",2001-05-24,9.575,2780
"237",2001-05-25,11.225,1620
"238",2001-05-26,11.775,1950
"239",2001-05-27,10.3,2460
"240",2001-05-28,10.675,2200
"241",2001-05-29,12.425,1500
"242",2001-05-30,14.725,675
"243",2001-05-31,14.475,453
"244",2001-06-01,14.475,453
"245",2001-06-02,14.925,453
"246",2001-06-03,14.95,376
"247",2001-06-04,14.875,315
"248",2001-06-05,15.875,315
"249",2001-06-06,16.225,315
"250",2001-06-07,16.325,395
"251",2001-06-08,16.025,453
"252",2001-06-09,16,453
"253",2001-06-10,15.95,371
"254",2001-06-11,16.4,286
"255",2001-06-12,16.825,270
"256",2001-06-13,16.775,271
"257",2001-06-14,16.625,375
"258",2001-06-15,16.6,453
"259",2001-06-16,16.475,376
"260",2001-06-17,16.825,289
"261",2001-06-18,16.375,269
"262",2001-06-19,16.675,267
"263",2001-06-20,16.975,267
"264",2001-06-21,NA,265
"265",2001-06-22,16.85,263
"266",2001-06-23,16.525,263
"267",2001-06-24,NA,264
"268",2001-06-25,16.625,263
"269",2001-06-26,16.925,263
"270",2001-06-27,17.225,265
"271",2001-06-28,17.575,267
"272",2001-06-29,17.675,273
"273",2001-06-30,17.85,285
"274",2001-07-01,17.6,285
"275",2001-07-02,17.5,285
"276",2001-07-03,16.95,285
"277",2001-07-04,16.925,285
"278",2001-07-05,16.6,285
"279",2001-07-06,17.125,285
"280",2001-07-07,16.95,285
"281",2001-07-08,NA,285
"282",2001-07-09,NA,285
"283",2001-07-10,NA,285
"284",2001-07-11,17.4,285
"285",2001-07-12,16.8,290
"286",2001-07-13,16.375,292
"287",2001-07-14,16.275,292
"288",2001-07-15,16.4,292
"289",2001-07-16,16.55,292
"290",2001-07-17,16.7,292
"291",2001-07-18,16.55,292
"292",2001-07-19,16.675,292
"293",2001-07-20,16.45,292
"294",2001-07-21,16.5,292
"295",2001-07-22,16.85,291
"296",2001-07-23,17.125,290
"297",2001-07-24,17.4,290
"298",2001-07-25,17.65,289
"299",2001-07-26,17,290
"300",2001-07-27,16.275,292
"301",2001-07-28,15.75,292
"302",2001-07-29,15.3,238
"303",2001-07-30,16.375,226
"304",2001-07-31,17,267
"305",2001-08-01,17.15,267
"306",2001-08-02,16.95,267
"307",2001-08-03,16.85,267
"308",2001-08-04,16.85,267
"309",2001-08-05,16.725,267
"310",2001-08-06,17.225,267
"311",2001-08-07,17.35,267
"312",2001-08-08,17.475,267
"313",2001-08-09,17.6,267
"314",2001-08-10,17.275,267
"315",2001-08-11,17.1,267
"316",2001-08-12,17.075,268
"317",2001-08-13,17,267
"318",2001-08-14,16.95,267
"319",2001-08-15,16.8,267
"320",2001-08-16,16.825,267
"321",2001-08-17,16.875,267
"322",2001-08-18,16.8,267
"323",2001-08-19,17.1,267
"324",2001-08-20,16.975,267
"325",2001-08-21,16.6,267
"326",2001-08-22,16.725,267
"327",2001-08-23,16.7,268
"328",2001-08-24,16.875,268
"329",2001-08-25,16.925,267
"330",2001-08-26,17.1,267
"331",2001-08-27,17.25,267
"332",2001-08-28,16.975,267
"333",2001-08-29,16.75,269
"334",2001-08-30,16.8,271
"335",2001-08-31,16.45,270
"336",2001-09-01,16.25,256
"337",2001-09-02,16.3,246
"338",2001-09-03,16.2,246
"339",2001-09-04,16.25,246
"340",2001-09-05,16.925,246
"341",2001-09-06,16.625,245
"342",2001-09-07,16.775,246
"343",2001-09-08,16.925,246
"344",2001-09-09,NA,251
"345",2001-09-10,NA,249
"346",2001-09-11,16.325,248
"347",2001-09-12,NA,248
"348",2001-09-13,NA,248
"349",2001-09-14,NA,248
"350",2001-09-15,NA,247
"351",2001-09-16,NA,246
"352",2001-09-17,NA,250
"353",2001-09-18,17.95,251
