"","Date","meanT","meanD"
"1",2021-10-01,15.575,211
"2",2021-10-02,15.775,207
"3",2021-10-03,16.2,207
"4",2021-10-04,16.475,207
"5",2021-10-05,16.75,207
"6",2021-10-06,16.725,207
"7",2021-10-07,16.425,207
"8",2021-10-08,16.175,206
"9",2021-10-09,16.05,203
"10",2021-10-10,15.95,203
"11",2021-10-11,16.025,203
"12",2021-10-12,16.4,203
"13",2021-10-13,15.6,754
"14",2021-10-14,15.9,201
"15",2021-10-15,16.675,204
"16",2021-10-16,16.05,200
"17",2021-10-17,14.925,197
"18",2021-10-18,14.2,197
"19",2021-10-19,14.175,245
"20",2021-10-20,14.4,229
"21",2021-10-21,14.55,196
"22",2021-10-22,15.05,194
"23",2021-10-23,14.775,195
"24",2021-10-24,15.2,194
"25",2021-10-25,16.225,193
"26",2021-10-26,16.15,191
"27",2021-10-27,15.55,191
"28",2021-10-28,15.6,191
"29",2021-10-29,16.025,191
"30",2021-10-30,16.075,191
"31",2021-10-31,15.8,191
"32",2021-11-01,15.5,171
"33",2021-11-02,14.55,161
"34",2021-11-03,13.65,161
"35",2021-11-04,13.425,161
"36",2021-11-05,12.925,161
"37",2021-11-06,12.65,161
"38",2021-11-07,12.425,161
"39",2021-11-08,12.5,161
"40",2021-11-09,12.775,161
"41",2021-11-10,13.2,160
"42",2021-11-11,13.275,159
"43",2021-11-12,13.7,159
"44",2021-11-13,12.675,159
"45",2021-11-14,11.75,159
"46",2021-11-15,11.4,159
"47",2021-11-16,11.325,159
"48",2021-11-17,12.05,159
"49",2021-11-18,12.325,159
"50",2021-11-19,11.375,159
"51",2021-11-20,10.35,159
"52",2021-11-21,10,159
"53",2021-11-22,10.475,159
"54",2021-11-23,9.85,159
"55",2021-11-24,9.125,159
"56",2021-11-25,9.725,159
"57",2021-11-26,9.95,159
"58",2021-11-27,9.1,159
"59",2021-11-28,9.05,159
"60",2021-11-29,8.975,159
"61",2021-11-30,8.85,161
"62",2021-12-01,9,161
"63",2021-12-02,9.575,162
"64",2021-12-03,10.075,160
"65",2021-12-04,9.75,161
"66",2021-12-05,9.225,161
"67",2021-12-06,9.35,160
"68",2021-12-07,8.85,160
"69",2021-12-08,8.425,161
"70",2021-12-09,8.025,162
"71",2021-12-10,8.25,162
"72",2021-12-11,9.075,161
"73",2021-12-12,8.8,161
"74",2021-12-13,7.875,161
"75",2021-12-14,7.55,161
"76",2021-12-15,7.625,161
"77",2021-12-16,7.825,160
"78",2021-12-17,8.875,159
"79",2021-12-18,9.55,159
"80",2021-12-19,9.15,160
"81",2021-12-20,7.85,161
"82",2021-12-21,7.175,159
"83",2021-12-22,7.225,159
"84",2021-12-23,6.85,159
"85",2021-12-24,7.275,159
"86",2021-12-25,8.125,159
"87",2021-12-26,8.85,159
"88",2021-12-27,8.7,159
"89",2021-12-28,8.65,159
"90",2021-12-29,9.1,159
"91",2021-12-30,9.4,159
"92",2021-12-31,9.125,159
"93",2022-01-01,9.175,159
"94",2022-01-02,9.55,159
"95",2022-01-03,8.675,161
"96",2022-01-04,7.35,161
"97",2022-01-05,7.025,161
"98",2022-01-06,6.9,160
"99",2022-01-07,6.225,160
"100",2022-01-08,5.35,161
"101",2022-01-09,5.825,161
"102",2022-01-10,6,161
"103",2022-01-11,5.6,161
"104",2022-01-12,5.525,161
"105",2022-01-13,6.05,161
"106",2022-01-14,6.425,162
"107",2022-01-15,6.35,161
"108",2022-01-16,5.15,161
"109",2022-01-17,4.7,161
"110",2022-01-18,5.05,162
"111",2022-01-19,5.025,162
"112",2022-01-20,5.45,162
"113",2022-01-21,5.025,162
"114",2022-01-22,4.275,162
"115",2022-01-23,4.575,161
"116",2022-01-24,5.1,161
"117",2022-01-25,5.55,161
"118",2022-01-26,5,161
"119",2022-01-27,4.35,161
"120",2022-01-28,4.625,161
"121",2022-01-29,4.375,162
"122",2022-01-30,3.725,161
"123",2022-01-31,4.1,161
"124",2022-02-01,4.275,167
"125",2022-02-02,4.5,169
"126",2022-02-03,5,170
"127",2022-02-04,5.475,178
"128",2022-02-05,5.15,180
"129",2022-02-06,4.45,175
"130",2022-02-07,4.45,176
"131",2022-02-08,4.425,173
"132",2022-02-09,4.675,170
"133",2022-02-10,5.075,170
"134",2022-02-11,5.025,248
"135",2022-02-12,5.225,298
"136",2022-02-13,NA,298
"137",2022-02-14,4.275,298
"138",2022-02-15,3.875,298
"139",2022-02-16,4.55,298
"140",2022-02-17,5.65,298
"141",2022-02-18,5.65,298
"142",2022-02-19,4.525,486
"143",2022-02-20,4.3,605
"144",2022-02-21,4.65,605
"145",2022-02-22,5.15,469
"146",2022-02-23,6.1,398
"147",2022-02-24,6.075,399
"148",2022-02-25,5.775,647
"149",2022-02-26,5.45,1010
"150",2022-02-27,5.35,1120
"151",2022-02-28,5.4,972
"152",2022-03-01,5.6,814
"153",2022-03-02,5.9,711
"154",2022-03-03,6.375,503
"155",2022-03-04,6.525,399
"156",2022-03-05,6.675,399
"157",2022-03-06,7.475,336
"158",2022-03-07,7.925,291
"159",2022-03-08,7.75,291
"160",2022-03-09,7.775,291
"161",2022-03-10,7.275,478
"162",2022-03-11,7.25,608
"163",2022-03-12,7.025,610
"164",2022-03-13,6.4,958
"165",2022-03-14,6.65,980
"166",2022-03-15,6.875,814
"167",2022-03-16,6.95,551
"168",2022-03-17,7.675,335
"169",2022-03-18,7.975,291
"170",2022-03-19,8.675,290
"171",2022-03-20,8.675,291
"172",2022-03-21,8.25,291
"173",2022-03-22,8.55,250
"174",2022-03-23,8.675,231
"175",2022-03-24,9.025,231
"176",2022-03-25,9.075,231
"177",2022-03-26,8.5,231
"178",2022-03-27,8.025,231
"179",2022-03-28,7.75,231
"180",2022-03-29,7.8,231
"181",2022-03-30,9.15,231
"182",2022-03-31,10.125,231
"183",2022-04-01,9.55,231
"184",2022-04-02,8.825,469
"185",2022-04-03,8.925,611
"186",2022-04-04,8.625,610
"187",2022-04-05,8.875,497
"188",2022-04-06,9.3,399
"189",2022-04-07,9.5,658
"190",2022-04-08,8.55,1820
"191",2022-04-09,7.75,2520
"192",2022-04-10,8.2,2220
"193",2022-04-11,8.55,1860
"194",2022-04-12,8.975,1460
"195",2022-04-13,10,936
"196",2022-04-14,10.2,529
"197",2022-04-15,10.275,399
"198",2022-04-16,11.05,331
"199",2022-04-17,11.55,294
"200",2022-04-18,10.625,295
"201",2022-04-19,10.025,295
"202",2022-04-20,10.275,501
"203",2022-04-21,10.425,611
"204",2022-04-22,11.1,611
"205",2022-04-23,11.6,471
"206",2022-04-24,12.175,399
"207",2022-04-25,12.35,399
"208",2022-04-26,12.625,400
"209",2022-04-27,12.025,403
"210",2022-04-28,12.675,339
"211",2022-04-29,12.725,299
"212",2022-04-30,12.525,302
"213",2022-05-01,12.675,302
"214",2022-05-02,13.95,270
"215",2022-05-03,14.275,252
"216",2022-05-04,15.15,232
"217",2022-05-05,14.675,252
"218",2022-05-06,14.475,353
"219",2022-05-07,12.975,675
"220",2022-05-08,11.05,1850
"221",2022-05-09,9.9,3210
"222",2022-05-10,10.325,2570
"223",2022-05-11,11.425,1710
"224",2022-05-12,12.625,1060
"225",2022-05-13,13.525,686
"226",2022-05-14,13.8,617
"227",2022-05-15,14.1,617
"228",2022-05-16,14.25,475
"229",2022-05-17,14.55,401
"230",2022-05-18,14.45,401
"231",2022-05-19,15.425,339
"232",2022-05-20,16.6,306
"233",2022-05-21,16.775,307
"234",2022-05-22,16.85,276
"235",2022-05-23,16.55,261
"236",2022-05-24,15.325,354
"237",2022-05-25,14.6,401
"238",2022-05-26,14.75,399
"239",2022-05-27,14.95,508
"240",2022-05-28,14.65,747
"241",2022-05-29,14.825,822
"242",2022-05-30,15.075,821
"243",2022-05-31,15.075,1050
"244",2022-06-01,15.15,1000
"245",2022-06-02,15.5,537
"246",2022-06-03,16,294
"247",2022-06-04,16.125,264
"248",2022-06-05,16.45,249
"249",2022-06-06,16.325,246
"250",2022-06-07,15.95,245
"251",2022-06-08,15.925,245
"252",2022-06-09,16.6,245
"253",2022-06-10,15.95,245
"254",2022-06-11,16.175,245
"255",2022-06-12,16.475,245
"256",2022-06-13,17.125,346
"257",2022-06-14,16.625,399
"258",2022-06-15,17.075,399
"259",2022-06-16,17.45,399
"260",2022-06-17,17.3,399
"261",2022-06-18,16.575,399
"262",2022-06-19,16.05,398
"263",2022-06-20,15.8,332
"264",2022-06-21,16.6,261
"265",2022-06-22,17.5,245
"266",2022-06-23,18.1,245
"267",2022-06-24,17.875,245
"268",2022-06-25,17.5,245
"269",2022-06-26,17.05,245
"270",2022-06-27,16.475,245
"271",2022-06-28,16.5,245
"272",2022-06-29,16.825,245
"273",2022-06-30,17.05,247
"274",2022-07-01,17.425,249
"275",2022-07-02,16.875,248
"276",2022-07-03,16.825,248
"277",2022-07-04,16.9,248
"278",2022-07-05,16.875,248
"279",2022-07-06,16.875,248
"280",2022-07-07,17.125,247
"281",2022-07-08,17.55,245
"282",2022-07-09,17.125,245
"283",2022-07-10,16.225,245
"284",2022-07-11,16.725,245
"285",2022-07-12,17.35,245
"286",2022-07-13,17.65,245
"287",2022-07-14,17.35,245
"288",2022-07-15,17.8,245
"289",2022-07-16,17.4,245
"290",2022-07-17,17.275,245
"291",2022-07-18,17.625,245
"292",2022-07-19,17.55,245
"293",2022-07-20,14.925,790
"294",2022-07-21,14.75,244
"295",2022-07-22,15.925,245
"296",2022-07-23,16.625,245
"297",2022-07-24,16.525,245
"298",2022-07-25,16.4,245
"299",2022-07-26,15.65,245
"300",2022-07-27,15.7,245
"301",2022-07-28,16.3,245
"302",2022-07-29,16.225,245
"303",2022-07-30,16.675,243
"304",2022-07-31,16.675,241
"305",2022-08-01,16.45,242
"306",2022-08-02,17,241
"307",2022-08-03,17.375,241
"308",2022-08-04,17.25,241
"309",2022-08-05,17.025,241
"310",2022-08-06,17.175,241
"311",2022-08-07,17.275,241
"312",2022-08-08,17.75,241
"313",2022-08-09,17.95,241
"314",2022-08-10,15.85,737
"315",2022-08-11,16.5,241
"316",2022-08-12,17.325,241
"317",2022-08-13,16.975,241
"318",2022-08-14,16.65,241
"319",2022-08-15,16.025,241
"320",2022-08-16,15.625,241
"321",2022-08-17,15.8,241
"322",2022-08-18,16.275,241
"323",2022-08-19,16.1,241
"324",2022-08-20,16.125,241
"325",2022-08-21,16.225,238
"326",2022-08-22,16.2,238
"327",2022-08-23,16.375,238
"328",2022-08-24,16.325,240
"329",2022-08-25,16.15,241
"330",2022-08-26,16.25,241
"331",2022-08-27,16.325,241
"332",2022-08-28,16.35,241
"333",2022-08-29,16.575,238
"334",2022-08-30,16.425,238
"335",2022-08-31,15.55,771
"336",2022-09-01,16.45,238
"337",2022-09-02,16.6,238
"338",2022-09-03,16.3,238
"339",2022-09-04,16.375,238
"340",2022-09-05,16.1,238
"341",2022-09-06,16.05,238
"342",2022-09-07,16.225,238
"343",2022-09-08,16.45,238
"344",2022-09-09,16.175,238
"345",2022-09-10,15.65,238
"346",2022-09-11,15.65,238
"347",2022-09-12,16.15,238
"348",2022-09-13,15.875,238
"349",2022-09-14,15.325,238
"350",2022-09-15,15.675,225
"351",2022-09-16,16.275,217
"352",2022-09-17,16.525,218
"353",2022-09-18,16.5,217
"354",2022-09-19,16.45,217
"355",2022-09-20,16.7,217
"356",2022-09-21,16.175,753
"357",2022-09-22,16.9,222
"358",2022-09-23,16,220
"359",2022-09-24,15.75,221
"360",2022-09-25,15.875,220
"361",2022-09-26,15.85,220
"362",2022-09-27,15.225,220
"363",2022-09-28,14.75,220
"364",2022-09-29,14.8,220
"365",2022-09-30,14.55,220
