"","Date","meanT","meanD"
"1",2012-10-01,15.8,209
"2",2012-10-02,15.825,190
"3",2012-10-03,15.425,766
"4",2012-10-04,16.275,195
"5",2012-10-05,16.175,195
"6",2012-10-06,15.625,195
"7",2012-10-07,14.275,196
"8",2012-10-08,NA,196
"9",2012-10-09,NA,195
"10",2012-10-10,NA,195
"11",2012-10-11,NA,195
"12",2012-10-12,NA,195
"13",2012-10-13,NA,195
"14",2012-10-14,NA,195
"15",2012-10-15,NA,194
"16",2012-10-16,NA,184
"17",2012-10-17,NA,193
"18",2012-10-18,15.025,193
"19",2012-10-19,15.85,193
"20",2012-10-20,15.15,193
"21",2012-10-21,14.6,193
"22",2012-10-22,14.475,193
"23",2012-10-23,15.25,193
"24",2012-10-24,15.775,193
"25",2012-10-25,15.625,193
"26",2012-10-26,15.775,193
"27",2012-10-27,15.875,193
"28",2012-10-28,15.275,193
"29",2012-10-29,13.95,193
"30",2012-10-30,12.65,193
"31",2012-10-31,12.325,193
"32",2012-11-01,12.475,177
"33",2012-11-02,12.175,169
"34",2012-11-03,12.075,167
"35",2012-11-04,12.5,167
"36",2012-11-05,11.75,167
"37",2012-11-06,11.025,167
"38",2012-11-07,10.975,167
"39",2012-11-08,10.825,167
"40",2012-11-09,10.6,167
"41",2012-11-10,11,167
"42",2012-11-11,11.3,167
"43",2012-11-12,12.3,167
"44",2012-11-13,11.8,167
"45",2012-11-14,10.5,167
"46",2012-11-15,10,167
"47",2012-11-16,9.725,167
"48",2012-11-17,9.55,167
"49",2012-11-18,9.775,167
"50",2012-11-19,9.875,167
"51",2012-11-20,10.1,167
"52",2012-11-21,9.675,167
"53",2012-11-22,9.4,167
"54",2012-11-23,9.425,167
"55",2012-11-24,9.05,167
"56",2012-11-25,8.375,167
"57",2012-11-26,8.525,167
"58",2012-11-27,9.375,167
"59",2012-11-28,8.825,165
"60",2012-11-29,7.975,166
"61",2012-11-30,7.8,165
"62",2012-12-01,8.25,155
"63",2012-12-02,8.725,150
"64",2012-12-03,9.825,150
"65",2012-12-04,9.85,150
"66",2012-12-05,9.875,150
"67",2012-12-06,8.8,150
"68",2012-12-07,9.025,150
"69",2012-12-08,9.3,150
"70",2012-12-09,10,150
"71",2012-12-10,10.15,150
"72",2012-12-11,9.275,150
"73",2012-12-12,8.35,150
"74",2012-12-13,7.525,150
"75",2012-12-14,6.85,150
"76",2012-12-15,7.4,149
"77",2012-12-16,8.1,147
"78",2012-12-17,8.55,152
"79",2012-12-18,8.7,152
"80",2012-12-19,7.875,150
"81",2012-12-20,7.6,150
"82",2012-12-21,7.125,150
"83",2012-12-22,6.325,150
"84",2012-12-23,5.975,150
"85",2012-12-24,6.3,150
"86",2012-12-25,7,150
"87",2012-12-26,6.675,150
"88",2012-12-27,6.3,150
"89",2012-12-28,6.425,150
"90",2012-12-29,6.7,150
"91",2012-12-30,6.125,150
"92",2012-12-31,5.45,150
"93",2013-01-01,6.125,150
"94",2013-01-02,6.275,150
"95",2013-01-03,5.625,150
"96",2013-01-04,5.25,150
"97",2013-01-05,5.375,150
"98",2013-01-06,5.825,150
"99",2013-01-07,5.875,150
"100",2013-01-08,5.3,149
"101",2013-01-09,5.475,149
"102",2013-01-10,6,149
"103",2013-01-11,6.325,149
"104",2013-01-12,6.825,149
"105",2013-01-13,7.5,149
"106",2013-01-14,7.7,150
"107",2013-01-15,7.225,150
"108",2013-01-16,6.925,155
"109",2013-01-17,6.65,153
"110",2013-01-18,5.875,153
"111",2013-01-19,5.55,153
"112",2013-01-20,5.75,153
"113",2013-01-21,5.5,153
"114",2013-01-22,4.475,154
"115",2013-01-23,3.725,150
"116",2013-01-24,4.15,144
"117",2013-01-25,3.525,147
"118",2013-01-26,4,147
"119",2013-01-27,4.325,147
"120",2013-01-28,5.4,147
"121",2013-01-29,6.65,147
"122",2013-01-30,7.175,149
"123",2013-01-31,6.25,157
"124",2013-02-01,5,153
"125",2013-02-02,4.125,147
"126",2013-02-03,4.65,148
"127",2013-02-04,4.5,145
"128",2013-02-05,5.075,144
"129",2013-02-06,5.225,146
"130",2013-02-07,5.025,146
"131",2013-02-08,5.3,145
"132",2013-02-09,4.775,145
"133",2013-02-10,4.625,145
"134",2013-02-11,5.6,143
"135",2013-02-12,5.65,142
"136",2013-02-13,5.525,142
"137",2013-02-14,5.325,142
"138",2013-02-15,5.2,142
"139",2013-02-16,5.075,142
"140",2013-02-17,4.125,142
"141",2013-02-18,3.85,142
"142",2013-02-19,4.975,142
"143",2013-02-20,4.625,140
"144",2013-02-21,4.6,139
"145",2013-02-22,5,139
"146",2013-02-23,5.55,139
"147",2013-02-24,6.225,139
"148",2013-02-25,5.475,139
"149",2013-02-26,5.125,140
"150",2013-02-27,5.45,140
"151",2013-02-28,5.425,142
"152",2013-03-01,5,140
"153",2013-03-02,4.775,139
"154",2013-03-03,4.5,139
"155",2013-03-04,4.775,139
"156",2013-03-05,5.15,139
"157",2013-03-06,5.025,139
"158",2013-03-07,5.1,140
"159",2013-03-08,5.575,139
"160",2013-03-09,5.675,139
"161",2013-03-10,5.975,139
"162",2013-03-11,5.9,500
"163",2013-03-12,5.55,1020
"164",2013-03-13,5.175,1170
"165",2013-03-14,5.175,1960
"166",2013-03-15,5.275,1860
"167",2013-03-16,5.75,867
"168",2013-03-17,5.9,702
"169",2013-03-18,5.125,704
"170",2013-03-19,5.75,818
"171",2013-03-20,5.525,887
"172",2013-03-21,5.325,769
"173",2013-03-22,5.35,702
"174",2013-03-23,5.725,702
"175",2013-03-24,5.725,703
"176",2013-03-25,5.45,502
"177",2013-03-26,5.65,393
"178",2013-03-27,5.7,394
"179",2013-03-28,5.9,296
