"","Date","meanT","meanD"
"1",2019-10-01,18.5,210
"2",2019-10-02,18.675,207
"3",2019-10-03,18.55,207
"4",2019-10-04,18.3,206
"5",2019-10-05,16.975,204
"6",2019-10-06,16.8,204
"7",2019-10-07,17.375,204
"8",2019-10-08,16.95,204
"9",2019-10-09,16.875,203
"10",2019-10-10,17.175,203
"11",2019-10-11,17.175,204
"12",2019-10-12,16.95,204
"13",2019-10-13,16.475,203
"14",2019-10-14,16.825,203
"15",2019-10-15,16.15,202
"16",2019-10-16,15.425,723
"17",2019-10-17,15.425,185
"18",2019-10-18,15.375,185
"19",2019-10-19,15.075,185
"20",2019-10-20,15.7,185
"21",2019-10-21,16.425,185
"22",2019-10-22,16.325,185
"23",2019-10-23,15.525,185
"24",2019-10-24,14.925,185
"25",2019-10-25,14.925,185
"26",2019-10-26,15.6,185
"27",2019-10-27,16.4,185
"28",2019-10-28,16.05,185
"29",2019-10-29,15.75,185
"30",2019-10-30,15.875,185
"31",2019-10-31,16.2,186
"32",2019-11-01,14.85,159
"33",2019-11-02,13.45,152
"34",2019-11-03,13.05,152
"35",2019-11-04,12.725,153
"36",2019-11-05,12.95,152
"37",2019-11-06,13.175,151
"38",2019-11-07,13.3,152
"39",2019-11-08,12.55,153
"40",2019-11-09,11.275,153
"41",2019-11-10,11.475,153
"42",2019-11-11,12.225,153
"43",2019-11-12,11.75,153
"44",2019-11-13,9.975,153
"45",2019-11-14,9.4,152
"46",2019-11-15,10.125,150
"47",2019-11-16,10.1,151
"48",2019-11-17,10.25,151
"49",2019-11-18,10.85,150
"50",2019-11-19,10.625,151
"51",2019-11-20,10.325,150
"52",2019-11-21,10,151
"53",2019-11-22,10.775,151
"54",2019-11-23,10.15,151
"55",2019-11-24,9.925,151
"56",2019-11-25,9.55,150
"57",2019-11-26,9.575,150
"58",2019-11-27,10.3,151
"59",2019-11-28,9.625,150
"60",2019-11-29,9.5,151
"61",2019-11-30,10.025,151
"62",2019-12-01,9.925,151
"63",2019-12-02,9.575,151
"64",2019-12-03,8.95,151
"65",2019-12-04,8.525,151
"66",2019-12-05,8.5,151
"67",2019-12-06,8.15,151
"68",2019-12-07,8.625,151
"69",2019-12-08,8.1,150
"70",2019-12-09,8.1,151
"71",2019-12-10,8.7,151
"72",2019-12-11,8.125,151
"73",2019-12-12,6.95,151
"74",2019-12-13,7.175,151
"75",2019-12-14,7.825,153
"76",2019-12-15,8.125,152
"77",2019-12-16,8.275,153
"78",2019-12-17,8.5,153
"79",2019-12-18,7.2,153
"80",2019-12-19,6.075,153
"81",2019-12-20,6,153
"82",2019-12-21,6.65,155
"83",2019-12-22,6.625,156
"84",2019-12-23,6.925,156
"85",2019-12-24,7.05,156
"86",2019-12-25,6.85,156
"87",2019-12-26,6.75,156
"88",2019-12-27,7.425,156
"89",2019-12-28,8.1,156
"90",2019-12-29,8.225,156
"91",2019-12-30,8.775,157
"92",2019-12-31,7.925,156
"93",2020-01-01,7.125,156
"94",2020-01-02,6.575,156
"95",2020-01-03,7.475,154
"96",2020-01-04,8.05,154
"97",2020-01-05,6.975,153
"98",2020-01-06,6.425,153
"99",2020-01-07,5.775,155
"100",2020-01-08,5.625,155
"101",2020-01-09,5.525,154
"102",2020-01-10,6.175,156
"103",2020-01-11,7.625,156
"104",2020-01-12,8.5,157
"105",2020-01-13,7.75,159
"106",2020-01-14,7.475,161
"107",2020-01-15,7.475,157
"108",2020-01-16,7.425,154
"109",2020-01-17,6.4,154
"110",2020-01-18,6.025,156
"111",2020-01-19,6.05,156
"112",2020-01-20,5.15,156
"113",2020-01-21,4.375,156
"114",2020-01-22,4.45,156
"115",2020-01-23,4.9,159
"116",2020-01-24,5.8,159
"117",2020-01-25,6.6,162
"118",2020-01-26,6.225,164
"119",2020-01-27,5.9,164
"120",2020-01-28,6.2,458
"121",2020-01-29,5.9,605
"122",2020-01-30,5.675,605
"123",2020-01-31,5.725,532
"124",2020-02-01,5.95,493
"125",2020-02-02,6.05,369
"126",2020-02-03,6.475,303
"127",2020-02-04,6.85,302
"128",2020-02-05,7.075,302
"129",2020-02-06,6.925,307
"130",2020-02-07,6.725,761
"131",2020-02-08,6.05,2900
"132",2020-02-09,5.925,4180
