"","Date","meanT","meanD"
"1",2015-10-01,16.275,212
"2",2015-10-02,15.225,203
"3",2015-10-03,14.575,204
"4",2015-10-04,15,203
"5",2015-10-05,15.475,204
"6",2015-10-06,15.4,203
"7",2015-10-07,NA,203
"8",2015-10-08,NA,203
"9",2015-10-09,NA,204
"10",2015-10-10,NA,204
"11",2015-10-11,NA,204
"12",2015-10-12,NA,203
"13",2015-10-13,NA,204
"14",2015-10-14,NA,755
"15",2015-10-15,NA,203
"16",2015-10-16,NA,195
"17",2015-10-17,NA,191
"18",2015-10-18,NA,191
"19",2015-10-19,NA,191
"20",2015-10-20,NA,191
"21",2015-10-21,NA,191
"22",2015-10-22,NA,178
"23",2015-10-23,NA,191
"24",2015-10-24,NA,191
"25",2015-10-25,NA,191
"26",2015-10-26,NA,191
"27",2015-10-27,NA,191
"28",2015-10-28,NA,191
"29",2015-10-29,NA,193
"30",2015-10-30,NA,192
"31",2015-10-31,NA,191
"32",2015-11-01,NA,172
"33",2015-11-02,NA,159
"34",2015-11-03,NA,159
"35",2015-11-04,NA,159
"36",2015-11-05,NA,158
"37",2015-11-06,NA,159
"38",2015-11-07,NA,159
"39",2015-11-08,NA,158
"40",2015-11-09,NA,159
"41",2015-11-10,NA,159
"42",2015-11-11,NA,159
"43",2015-11-12,NA,159
"44",2015-11-13,NA,159
"45",2015-11-14,NA,159
"46",2015-11-15,NA,159
"47",2015-11-16,NA,159
"48",2015-11-17,NA,159
"49",2015-11-18,NA,159
"50",2015-11-19,NA,162
"51",2015-11-20,NA,165
"52",2015-11-21,NA,165
"53",2015-11-22,NA,164
"54",2015-11-23,NA,165
"55",2015-11-24,NA,164
"56",2015-11-25,NA,164
"57",2015-11-26,NA,165
"58",2015-11-27,NA,164
"59",2015-11-28,NA,164
"60",2015-11-29,NA,165
"61",2015-11-30,NA,166
"62",2015-12-01,NA,167
"63",2015-12-02,NA,164
"64",2015-12-03,11.475,162
"65",2015-12-04,NA,162
"66",2015-12-05,10.325,162
"67",2015-12-06,10.3,162
"68",2015-12-07,10.175,163
"69",2015-12-08,10.725,164
"70",2015-12-09,10.275,164
"71",2015-12-10,10.825,164
"72",2015-12-11,10.8,353
"73",2015-12-12,11.175,637
"74",2015-12-13,11,644
"75",2015-12-14,11.05,399
"76",2015-12-15,11.1,280
"77",2015-12-16,10.4,280
"78",2015-12-17,10.425,423
"79",2015-12-18,9.95,504
"80",2015-12-19,9.025,427
"81",2015-12-20,8.725,325
"82",2015-12-21,8.8,292
"83",2015-12-22,9.55,356
"84",2015-12-23,9.975,396
"85",2015-12-24,10.225,885
"86",2015-12-25,10.1,1170
"87",2015-12-26,9.85,2320
"88",2015-12-27,9.675,2980
"89",2015-12-28,9.525,1730
"90",2015-12-29,10.1,929
"91",2015-12-30,10.175,674
"92",2015-12-31,10.2,603
"93",2016-01-01,9.6,603
"94",2016-01-02,8.95,603
"95",2016-01-03,8.7,603
"96",2016-01-04,8.4,463
"97",2016-01-05,7.45,383
"98",2016-01-06,7.175,383
"99",2016-01-07,7.225,325
"100",2016-01-08,7.525,292
"101",2016-01-09,8.225,292
"102",2016-01-10,8.45,294
"103",2016-01-11,7.275,483
"104",2016-01-12,7.125,603
"105",2016-01-13,6.6,603
"106",2016-01-14,7.05,603
"107",2016-01-15,7.05,478
"108",2016-01-16,7.3,466
"109",2016-01-17,7.025,500
"110",2016-01-18,6.125,499
"111",2016-01-19,5.225,499
"112",2016-01-20,5.225,500
"113",2016-01-21,5.7,369
"114",2016-01-22,4.375,295
"115",2016-01-23,3.95,295
"116",2016-01-24,4.375,295
