"","Date","meanT","meanD"
"1",2014-10-01,16.725,209
"2",2014-10-02,16.625,203
"3",2014-10-03,16.7,203
"4",2014-10-04,15.925,203
"5",2014-10-05,14.575,203
"6",2014-10-06,14.725,203
"7",2014-10-07,15.6,203
"8",2014-10-08,15.9,203
"9",2014-10-09,15.85,203
"10",2014-10-10,15.975,203
"11",2014-10-11,16.425,203
"12",2014-10-12,16.3,203
"13",2014-10-13,16.3,203
"14",2014-10-14,17,203
"15",2014-10-15,16.95,205
"16",2014-10-16,16.45,205
"17",2014-10-17,16.425,203
"18",2014-10-18,16.1,203
"19",2014-10-19,15.45,203
"20",2014-10-20,14.95,203
"21",2014-10-21,15.35,203
"22",2014-10-22,15,203
"23",2014-10-23,15.075,203
"24",2014-10-24,14.775,203
"25",2014-10-25,14.5,203
"26",2014-10-26,15.2,203
"27",2014-10-27,14.25,203
"28",2014-10-28,15.15,203
"29",2014-10-29,15.1,203
"30",2014-10-30,14.05,203
"31",2014-10-31,13.275,203
"32",2014-11-01,13,176
"33",2014-11-02,12.075,161
"34",2014-11-03,11.7,161
"35",2014-11-04,12.375,161
"36",2014-11-05,13.075,161
"37",2014-11-06,13.6,161
"38",2014-11-07,12.425,161
"39",2014-11-08,11.325,161
"40",2014-11-09,11.725,161
"41",2014-11-10,11.5,161
"42",2014-11-11,11.65,161
"43",2014-11-12,11.85,161
"44",2014-11-13,11.025,161
"45",2014-11-14,9.95,161
"46",2014-11-15,8.95,161
"47",2014-11-16,9.6,161
"48",2014-11-17,10,161
"49",2014-11-18,8.65,161
"50",2014-11-19,7.45,160
"51",2014-11-20,8.275,159
"52",2014-11-21,8.05,158
"53",2014-11-22,7.625,158
"54",2014-11-23,8.5,158
"55",2014-11-24,9.775,158
"56",2014-11-25,9.875,158
"57",2014-11-26,8.625,158
"58",2014-11-27,8.2,158
"59",2014-11-28,7.775,158
"60",2014-11-29,7.425,158
"61",2014-11-30,8.2,158
"62",2014-12-01,9.175,158
"63",2014-12-02,8.975,158
"64",2014-12-03,8.525,158
"65",2014-12-04,8.325,158
"66",2014-12-05,8.525,158
"67",2014-12-06,8.65,158
"68",2014-12-07,8.25,158
"69",2014-12-08,7.5,159
"70",2014-12-09,7.725,161
"71",2014-12-10,7.9,161
"72",2014-12-11,7.1,161
"73",2014-12-12,6.675,161
"74",2014-12-13,6.775,161
"75",2014-12-14,7.15,161
"76",2014-12-15,7.2,161
"77",2014-12-16,NA,161
"78",2014-12-17,NA,161
"79",2014-12-18,NA,161
"80",2014-12-19,NA,161
"81",2014-12-20,NA,161
"82",2014-12-21,NA,161
"83",2014-12-22,NA,161
"84",2014-12-23,NA,161
"85",2014-12-24,NA,161
"86",2014-12-25,NA,161
"87",2014-12-26,NA,161
"88",2014-12-27,NA,161
"89",2014-12-28,NA,161
"90",2014-12-29,NA,161
"91",2014-12-30,NA,161
"92",2014-12-31,NA,160
"93",2015-01-01,NA,158
"94",2015-01-02,NA,158
"95",2015-01-03,NA,158
"96",2015-01-04,NA,159
"97",2015-01-05,NA,161
"98",2015-01-06,NA,161
"99",2015-01-07,NA,161
"100",2015-01-08,NA,161
"101",2015-01-09,NA,161
"102",2015-01-10,NA,161
"103",2015-01-11,NA,161
"104",2015-01-12,NA,161
"105",2015-01-13,NA,161
"106",2015-01-14,NA,161
"107",2015-01-15,NA,161
"108",2015-01-16,NA,161
"109",2015-01-17,NA,161
"110",2015-01-18,NA,161
