"","Date","meanT","meanD"
"1",2016-10-01,17.575,220
"2",2016-10-02,17.65,221
"3",2016-10-03,17.675,223
"4",2016-10-04,17.8,221
"5",2016-10-05,17.525,220
"6",2016-10-06,17.275,221
"7",2016-10-07,17.5,221
"8",2016-10-08,17.45,222
"9",2016-10-09,16.775,223
"10",2016-10-10,16.25,221
"11",2016-10-11,16.35,220
"12",2016-10-12,15.775,749
"13",2016-10-13,16.55,218
"14",2016-10-14,16.475,219
"15",2016-10-15,16.8,220
"16",2016-10-16,17.35,220
"17",2016-10-17,17.475,220
"18",2016-10-18,17.55,220
"19",2016-10-19,17.775,220
"20",2016-10-20,18.05,220
"21",2016-10-21,17.45,222
"22",2016-10-22,16.05,223
"23",2016-10-23,15.375,223
"24",2016-10-24,16.075,223
"25",2016-10-25,15.55,223
"26",2016-10-26,15.5,203
"27",2016-10-27,15.4,220
"28",2016-10-28,15.9,220
"29",2016-10-29,15.7,200
"30",2016-10-30,16.125,188
"31",2016-10-31,16.7,188
"32",2016-11-01,16.975,170
"33",2016-11-02,16.95,160
"34",2016-11-03,16.6,160
"35",2016-11-04,16.15,161
"36",2016-11-05,14.975,161
"37",2016-11-06,14.275,161
"38",2016-11-07,14.375,160
"39",2016-11-08,14.225,159
"40",2016-11-09,14.75,159
"41",2016-11-10,14,159
"42",2016-11-11,13.6,159
"43",2016-11-12,13.175,159
"44",2016-11-13,12.35,159
"45",2016-11-14,11.95,159
"46",2016-11-15,12.425,159
"47",2016-11-16,12.575,159
"48",2016-11-17,12.625,159
"49",2016-11-18,12.725,159
"50",2016-11-19,12.325,159
"51",2016-11-20,10.95,159
"52",2016-11-21,10,159
"53",2016-11-22,9.9,158
"54",2016-11-23,10.325,158
"55",2016-11-24,10.95,157
"56",2016-11-25,11.8,157
"57",2016-11-26,11.375,156
"58",2016-11-27,10.35,156
"59",2016-11-28,10.175,156
"60",2016-11-29,11.275,158
"61",2016-11-30,11.875,159
"62",2016-12-01,11.35,159
"63",2016-12-02,10.625,159
"64",2016-12-03,10.125,159
"65",2016-12-04,9.875,159
"66",2016-12-05,10.3,159
"67",2016-12-06,10.35,159
"68",2016-12-07,10.1,161
"69",2016-12-08,9.4,161
"70",2016-12-09,8.6,374
"71",2016-12-10,8.85,505
"72",2016-12-11,9,505
"73",2016-12-12,9.575,505
"74",2016-12-13,9.35,372
"75",2016-12-14,9.125,280
"76",2016-12-15,7.7,295
"77",2016-12-16,6.675,295
"78",2016-12-17,7.6,295
"79",2016-12-18,NA,295
"80",2016-12-19,NA,205
"81",2016-12-20,NA,159
"82",2016-12-21,NA,160
"83",2016-12-22,NA,161
"84",2016-12-23,7,160
"85",2016-12-24,7.75,380
"86",2016-12-25,8.125,504
"87",2016-12-26,8.25,504
"88",2016-12-27,8.175,504
"89",2016-12-28,7.625,504
"90",2016-12-29,7.35,558
"91",2016-12-30,7.025,588
"92",2016-12-31,6.65,586
"93",2017-01-01,7.475,586
"94",2017-01-02,7.725,585
"95",2017-01-03,7.75,466
"96",2017-01-04,7.65,524
"97",2017-01-05,6.8,959
"98",2017-01-06,6.8,1160
"99",2017-01-07,6.25,1160
"100",2017-01-08,5.8,1150
"101",2017-01-09,5.725,629
"102",2017-01-10,5.525,292
"103",2017-01-11,6.175,292
"104",2017-01-12,6.95,291
"105",2017-01-13,7.675,292
"106",2017-01-14,7.2,359
"107",2017-01-15,6.8,527
"108",2017-01-16,6.725,734
"109",2017-01-17,6.575,1030
"110",2017-01-18,6.8,1160
"111",2017-01-19,6.85,1160
"112",2017-01-20,6.75,1160
"113",2017-01-21,6.725,1160
"114",2017-01-22,6.8,1160
"115",2017-01-23,7.025,1160
"116",2017-01-24,7.175,1160
"117",2017-01-25,6.875,2130
"118",2017-01-26,NA,2420
"119",2017-01-27,6.35,1250
"120",2017-01-28,6.5,592
"121",2017-01-29,6.375,592
"122",2017-01-30,5.975,410
"123",2017-01-31,5.825,308
"124",2017-02-01,6.65,308
"125",2017-02-02,6.4,307
"126",2017-02-03,5.725,307
"127",2017-02-04,5,246
"128",2017-02-05,5.625,211
"129",2017-02-06,6.125,211
"130",2017-02-07,7.55,210
"131",2017-02-08,7.95,294
"132",2017-02-09,6.625,399
"133",2017-02-10,5.1,331
"134",2017-02-11,5.825,236
"135",2017-02-12,7.5,202
"136",2017-02-13,7.075,202
"137",2017-02-14,6.075,181
"138",2017-02-15,6.575,170
"139",2017-02-16,5.775,170
"140",2017-02-17,6.1,170
"141",2017-02-18,6.85,170
"142",2017-02-19,7.875,170
"143",2017-02-20,7.625,170
"144",2017-02-21,7.75,170
"145",2017-02-22,8.025,170
"146",2017-02-23,8.45,170
"147",2017-02-24,8.9,170
