"","Date","meanT","meanD"
"1",2022-10-01,14.075,220
"2",2022-10-02,14.2,220
"3",2022-10-03,14.55,213
"4",2022-10-04,14.325,210
"5",2022-10-05,14.225,208
"6",2022-10-06,14.3,207
"7",2022-10-07,14.4,207
"8",2022-10-08,14.125,207
"9",2022-10-09,13.375,207
"10",2022-10-10,13.275,207
"11",2022-10-11,13.4,207
"12",2022-10-12,14.1,735
"13",2022-10-13,15.725,207
"14",2022-10-14,15.4,207
"15",2022-10-15,14.825,207
"16",2022-10-16,15.1,207
"17",2022-10-17,15.1,202
"18",2022-10-18,14,200
"19",2022-10-19,13,200
"20",2022-10-20,12.7,200
"21",2022-10-21,12.925,200
"22",2022-10-22,13.175,200
"23",2022-10-23,13.4,200
"24",2022-10-24,13.475,200
"25",2022-10-25,13.65,200
"26",2022-10-26,14.425,197
"27",2022-10-27,14.175,197
"28",2022-10-28,13.45,197
"29",2022-10-29,13.525,197
"30",2022-10-30,13.425,197
"31",2022-10-31,13.575,197
"32",2022-11-01,14.15,177
"33",2022-11-02,14,165
"34",2022-11-03,14.15,164
"35",2022-11-04,14.05,164
"36",2022-11-05,14.725,164
"37",2022-11-06,15.6,164
"38",2022-11-07,15.725,164
"39",2022-11-08,14.475,164
"40",2022-11-09,13.15,164
"41",2022-11-10,13.275,164
"42",2022-11-11,14.325,164
"43",2022-11-12,14.35,164
"44",2022-11-13,12.925,164
"45",2022-11-14,11.55,164
"46",2022-11-15,11.2,165
"47",2022-11-16,11.15,164
"48",2022-11-17,10.7,164
"49",2022-11-18,10.2,164
"50",2022-11-19,9.85,164
"51",2022-11-20,9.375,164
"52",2022-11-21,8.775,164
"53",2022-11-22,8.9,164
"54",2022-11-23,9.05,164
"55",2022-11-24,9.225,164
"56",2022-11-25,9.8,164
"57",2022-11-26,9.35,165
"58",2022-11-27,9.7,165
"59",2022-11-28,10.075,165
"60",2022-11-29,9.75,164
"61",2022-11-30,10.025,164
"62",2022-12-01,8.975,161
"63",2022-12-02,8.15,159
"64",2022-12-03,9.15,159
"65",2022-12-04,8.75,159
"66",2022-12-05,7.825,159
"67",2022-12-06,8.575,159
"68",2022-12-07,9.325,159
