"","Date","meanT","meanD"
"1",2013-10-01,16.7,216
"2",2013-10-02,16.75,216
"3",2013-10-03,17,216
"4",2013-10-04,17.5,216
"5",2013-10-05,17.725,216
"6",2013-10-06,17.825,216
"7",2013-10-07,17.175,216
"8",2013-10-08,16.15,216
"9",2013-10-09,15.925,216
"10",2013-10-10,16.25,216
"11",2013-10-11,17,214
"12",2013-10-12,17.075,212
"13",2013-10-13,17.3,212
"14",2013-10-14,17.325,212
"15",2013-10-15,15.875,765
"16",2013-10-16,16.15,192
"17",2013-10-17,16.95,196
"18",2013-10-18,16.475,196
"19",2013-10-19,16.05,196
"20",2013-10-20,15.625,197
"21",2013-10-21,15.35,197
"22",2013-10-22,15.55,196
"23",2013-10-23,15.25,197
"24",2013-10-24,14.375,196
"25",2013-10-25,14,197
"26",2013-10-26,13.675,196
"27",2013-10-27,14.575,195
"28",2013-10-28,14.225,194
"29",2013-10-29,15.25,193
"30",2013-10-30,15.55,195
"31",2013-10-31,15.825,183
"32",2013-11-01,16.45,174
"33",2013-11-02,15.325,161
"34",2013-11-03,14.3,161
"35",2013-11-04,13.325,161
"36",2013-11-05,13.275,161
"37",2013-11-06,14.4,161
"38",2013-11-07,14.025,161
"39",2013-11-08,12.775,161
"40",2013-11-09,12.2,161
"41",2013-11-10,12.55,161
"42",2013-11-11,12.2,161
"43",2013-11-12,11.55,161
"44",2013-11-13,10.6,161
"45",2013-11-14,10.475,161
"46",2013-11-15,10.825,161
"47",2013-11-16,12.1,161
"48",2013-11-17,12.95,161
"49",2013-11-18,12.775,161
"50",2013-11-19,11.5,161
"51",2013-11-20,10.575,161
"52",2013-11-21,10.75,161
"53",2013-11-22,11.5,161
"54",2013-11-23,11.275,161
"55",2013-11-24,9.475,161
"56",2013-11-25,8.325,159
"57",2013-11-26,9.075,161
"58",2013-11-27,9.2,161
"59",2013-11-28,8.4,160
"60",2013-11-29,8.3,160
"61",2013-11-30,8.175,159
"62",2013-12-01,8.075,158
"63",2013-12-02,9.15,158
"64",2013-12-03,9.4,158
"65",2013-12-04,9.475,158
"66",2013-12-05,9.7,158
"67",2013-12-06,10.325,159
"68",2013-12-07,9.75,160
"69",2013-12-08,8.35,162
"70",2013-12-09,8.175,164
"71",2013-12-10,8.1,160
"72",2013-12-11,7.4,157
"73",2013-12-12,7.1,158
"74",2013-12-13,6.6,158
"75",2013-12-14,7.1,158
"76",2013-12-15,7.35,160
"77",2013-12-16,7.125,161
"78",2013-12-17,7.2,161
"79",2013-12-18,6.95,161
"80",2013-12-19,6.575,161
"81",2013-12-20,7.15,161
"82",2013-12-21,8.225,162
"83",2013-12-22,9,164
"84",2013-12-23,8.175,162
"85",2013-12-24,7.05,160
"86",2013-12-25,6.025,561
"87",2013-12-26,6.45,864
"88",2013-12-27,6.325,830
"89",2013-12-28,6.275,789
"90",2013-12-29,6.5,1030
"91",2013-12-30,6.475,2390
"92",2013-12-31,6.225,2780
"93",2014-01-01,6.125,1700
"94",2014-01-02,5.9,777
"95",2014-01-03,5.325,584
"96",2014-01-04,4.875,459
"97",2014-01-05,5.35,393
"98",2014-01-06,5,393
"99",2014-01-07,3.45,329
"100",2014-01-08,3.475,291
"101",2014-01-09,4.425,291
"102",2014-01-10,5,291
"103",2014-01-11,5.175,485
"104",2014-01-12,5.025,595
"105",2014-01-13,4.8,595
"106",2014-01-14,5.15,595
"107",2014-01-15,4.675,595
"108",2014-01-16,4.45,467
"109",2014-01-17,4.725,393
"110",2014-01-18,4.45,393
"111",2014-01-19,4.225,329
"112",2014-01-20,4.35,291
"113",2014-01-21,4.325,292
"114",2014-01-22,3.4,291
"115",2014-01-23,3,292
"116",2014-01-24,2.275,291
"117",2014-01-25,2.55,213
"118",2014-01-26,2.725,169
"119",2014-01-27,2.925,170
"120",2014-01-28,2.35,170
"121",2014-01-29,1.975,169
"122",2014-01-30,1.85,170
"123",2014-01-31,2.65,164
"124",2014-02-01,3.7,170
"125",2014-02-02,4.1,380
"126",2014-02-03,4.075,923
"127",2014-02-04,3.9,1170
"128",2014-02-05,3.9,2040
"129",2014-02-06,3.375,3220
"130",2014-02-07,3.425,2580
"131",2014-02-08,3.55,1410
"132",2014-02-09,3.625,1050
"133",2014-02-10,3.45,679
"134",2014-02-11,3.225,501
"135",2014-02-12,3.175,502
"136",2014-02-13,2.675,502
"137",2014-02-14,3.425,502
"138",2014-02-15,3.6,502
"139",2014-02-16,2.975,503
"140",2014-02-17,3.225,502
"141",2014-02-18,3.725,378
"142",2014-02-19,4.125,308
"143",2014-02-20,4.025,813
"144",2014-02-21,4.025,1160
"145",2014-02-22,4.025,2250
"146",2014-02-23,3.95,2910
"147",2014-02-24,4,1760
"148",2014-02-25,3.875,870
"149",2014-02-26,4.05,579
"150",2014-02-27,3.55,507
"151",2014-02-28,3.6,440
"152",2014-03-01,3.875,402
"153",2014-03-02,4.575,402
"154",2014-03-03,4.225,405
"155",2014-03-04,3.575,407
"156",2014-03-05,4.15,654
"157",2014-03-06,4.4,722
"158",2014-03-07,4.325,677
"159",2014-03-08,4.7,612
"160",2014-03-09,4.925,748
"161",2014-03-10,4.875,689
"162",2014-03-11,5.125,612
"163",2014-03-12,5.275,738
"164",2014-03-13,5.025,635
"165",2014-03-14,4.825,804
"166",2014-03-15,5.475,803
"167",2014-03-16,5.15,545
"168",2014-03-17,4.575,407
"169",2014-03-18,5.125,407
"170",2014-03-19,5.75,408
"171",2014-03-20,6,602
"172",2014-03-21,5.725,773
"173",2014-03-22,6.2,809
"174",2014-03-23,5.925,873
"175",2014-03-24,5.75,782
"176",2014-03-25,5.8,710
"177",2014-03-26,5.775,542
"178",2014-03-27,6,375
"179",2014-03-28,6.85,437
"180",2014-03-29,6.675,518
"181",2014-03-30,6.175,952
"182",2014-03-31,6.4,1180
"183",2014-04-01,6.9,1190
"184",2014-04-02,7.275,1190
"185",2014-04-03,7.2,1190
"186",2014-04-04,7.35,1190
"187",2014-04-05,7.825,1190
"188",2014-04-06,7.675,1190
"189",2014-04-07,7.375,1190
"190",2014-04-08,8.325,755
"191",2014-04-09,8.075,508
"192",2014-04-10,8.325,574
"193",2014-04-11,8.525,612
"194",2014-04-12,8.975,548
"195",2014-04-13,9.475,451
"196",2014-04-14,9.825,387
"197",2014-04-15,9.25,573
"198",2014-04-16,9.4,437
"199",2014-04-17,8.8,702
"200",2014-04-18,8.6,818
"201",2014-04-19,9.1,674
"202",2014-04-20,9.875,544
"203",2014-04-21,10.05,420
"204",2014-04-22,10.8,371
"205",2014-04-23,11.025,328
"206",2014-04-24,10.9,303
"207",2014-04-25,10.8,304
"208",2014-04-26,11.1,505
"209",2014-04-27,NA,866
"210",2014-04-28,10.475,999
"211",2014-04-29,10.25,1000
"212",2014-04-30,10.65,1010
"213",2014-05-01,11.05,1140
"214",2014-05-02,10.825,1210
"215",2014-05-03,11.025,1210
"216",2014-05-04,11.775,1210
"217",2014-05-05,11.9,1210
"218",2014-05-06,11.925,1070
"219",2014-05-07,13.15,649
"220",2014-05-08,13.375,370
"221",2014-05-09,13.75,363
"222",2014-05-10,13.375,402
"223",2014-05-11,13.75,402
"224",2014-05-12,13.875,402
"225",2014-05-13,14.15,402
"226",2014-05-14,14.15,402
"227",2014-05-15,14.2,404
"228",2014-05-16,10.3,1900
"229",2014-05-17,7.35,4220
"230",2014-05-18,7.725,3810
"231",2014-05-19,7.9,2270
"232",2014-05-20,9.875,1420
"233",2014-05-21,13.9,749
"234",2014-05-22,15.875,502
"235",2014-05-23,15.625,432
"236",2014-05-24,14.85,329
"237",2014-05-25,15.15,291
