"","Date","meanT","meanD"
"1",1999-10-01,14.8,169
"2",1999-10-02,14.825,156
"3",1999-10-03,15.175,156
"4",1999-10-04,15.325,157
"5",1999-10-05,14.95,156
"6",1999-10-06,14.475,156
"7",1999-10-07,14.35,156
"8",1999-10-08,14.4,156
"9",1999-10-09,14.25,156
"10",1999-10-10,14.825,157
"11",1999-10-11,15.525,156
"12",1999-10-12,15.375,156
"13",1999-10-13,14.875,157
"14",1999-10-14,14.675,158
"15",1999-10-15,13.775,156
"16",1999-10-16,13.85,156
"17",1999-10-17,14.525,156
"18",1999-10-18,14.25,156
"19",1999-10-19,13.3,156
"20",1999-10-20,12.975,156
"21",1999-10-21,12.725,156
"22",1999-10-22,12.775,156
"23",1999-10-23,12.05,156
"24",1999-10-24,11.675,156
"25",1999-10-25,11.5,156
"26",1999-10-26,11.825,156
"27",1999-10-27,12.025,156
"28",1999-10-28,11.95,156
"29",1999-10-29,12.1,156
"30",1999-10-30,12.375,156
"31",1999-10-31,12.975,156
"32",1999-11-01,13.1,142
"33",1999-11-02,13.45,137
"34",1999-11-03,11.65,136
"35",1999-11-04,10.625,136
"36",1999-11-05,10.7,136
"37",1999-11-06,11.425,136
"38",1999-11-07,11.8,136
"39",1999-11-08,11.4,136
"40",1999-11-09,11.65,136
"41",1999-11-10,12.175,136
"42",1999-11-11,12.6,136
"43",1999-11-12,12.75,136
"44",1999-11-13,12.475,136
"45",1999-11-14,12.35,136
"46",1999-11-15,11.925,136
"47",1999-11-16,11.225,136
"48",1999-11-17,10.55,136
"49",1999-11-18,10.05,128
"50",1999-11-19,10.1,117
"51",1999-11-20,10.7,115
"52",1999-11-21,11.375,115
"53",1999-11-22,12.125,115
"54",1999-11-23,12.625,115
"55",1999-11-24,12.725,115
"56",1999-11-25,12.95,115
"57",1999-11-26,13,115
"58",1999-11-27,12.275,115
"59",1999-11-28,11.325,115
"60",1999-11-29,10.5,115
"61",1999-11-30,9.675,115
"62",1999-12-01,8.9,115
"63",1999-12-02,8.5,115
"64",1999-12-03,8.8,115
"65",1999-12-04,9.675,115
"66",1999-12-05,10.125,115
"67",1999-12-06,10.4,115
"68",1999-12-07,9.725,115
"69",1999-12-08,9.1,115
"70",1999-12-09,8.775,115
"71",1999-12-10,9.2,116
"72",1999-12-11,9.05,115
"73",1999-12-12,8.575,115
"74",1999-12-13,8.65,115
"75",1999-12-14,9.35,115
"76",1999-12-15,9.5,115
"77",1999-12-16,8.85,115
"78",1999-12-17,8.1,115
"79",1999-12-18,8.15,115
"80",1999-12-19,8.2,115
"81",1999-12-20,8.725,115
"82",1999-12-21,8.925,115
"83",1999-12-22,8.4,115
"84",1999-12-23,7.65,115
"85",1999-12-24,6.95,115
"86",1999-12-25,6.35,115
"87",1999-12-26,6.05,115
"88",1999-12-27,6.375,115
"89",1999-12-28,6.35,115
"90",1999-12-29,6.125,115
"91",1999-12-30,6.175,115
"92",1999-12-31,6.65,115
"93",2000-01-01,6.7,115
"94",2000-01-02,6.9,115
"95",2000-01-03,7.625,115
"96",2000-01-04,8.45,115
"97",2000-01-05,7.675,115
"98",2000-01-06,6.5,115
"99",2000-01-07,5.975,115
"100",2000-01-08,5.875,115
"101",2000-01-09,6.025,115
"102",2000-01-10,6.475,115
"103",2000-01-11,6.6,115
"104",2000-01-12,6.25,115
"105",2000-01-13,6.7,115
"106",2000-01-14,5.9,115
"107",2000-01-15,5.225,115
"108",2000-01-16,5.8,115
"109",2000-01-17,5.65,115
"110",2000-01-18,5.35,115
"111",2000-01-19,5.4,115
"112",2000-01-20,5.325,115
"113",2000-01-21,4.575,115
"114",2000-01-22,3.825,115
"115",2000-01-23,4.15,115
"116",2000-01-24,4.575,115
"117",2000-01-25,4.625,115
"118",2000-01-26,4.175,115
"119",2000-01-27,3.775,115
"120",2000-01-28,3.6,115
"121",2000-01-29,3.1,115
"122",2000-01-30,3.2,115
"123",2000-01-31,3.45,115
"124",2000-02-01,3.675,115
"125",2000-02-02,3.7,115
"126",2000-02-03,3.775,115
"127",2000-02-04,4.2,115
"128",2000-02-05,4.225,115
"129",2000-02-06,4,115
"130",2000-02-07,4,115
"131",2000-02-08,4.5,115
"132",2000-02-09,4.525,115
"133",2000-02-10,4.775,115
"134",2000-02-11,5.225,115
"135",2000-02-12,4.9,115
"136",2000-02-13,4.75,115
"137",2000-02-14,NA,115
"138",2000-02-15,5.525,115
"139",2000-02-16,5.7,115
"140",2000-02-17,5.8,115
"141",2000-02-18,5.65,115
"142",2000-02-19,6.075,116
"143",2000-02-20,5.925,115
"144",2000-02-21,5.8,115
"145",2000-02-22,5.95,115
"146",2000-02-23,6.75,115
"147",2000-02-24,7.025,115
"148",2000-02-25,7.825,114
"149",2000-02-26,8.125,112
"150",2000-02-27,8.35,112
"151",2000-02-28,8.1,113
"152",2000-02-29,7.425,115
"153",2000-03-01,7.3,115
"154",2000-03-02,7.9,115
"155",2000-03-03,7.25,115
"156",2000-03-04,7.65,115
"157",2000-03-05,7.9,115
"158",2000-03-06,8.25,255
"159",2000-03-07,7.85,327
"160",2000-03-08,8.325,260
"161",2000-03-09,8.975,220
"162",2000-03-10,8.875,220
"163",2000-03-11,8.7,222
"164",2000-03-12,8.275,754
"165",2000-03-13,6.875,2050
"166",2000-03-14,6.25,2240
"167",2000-03-15,6.95,1560
"168",2000-03-16,7.675,762
"169",2000-03-17,8.625,522
"170",2000-03-18,8.075,519
"171",2000-03-19,7.7,518
"172",2000-03-20,7.7,519
"173",2000-03-21,7.975,878
"174",2000-03-22,7.525,1980
"175",2000-03-23,7.15,2510
"176",2000-03-24,8.025,1370
"177",2000-03-25,9.35,621
"178",2000-03-26,9.775,915
"179",2000-03-27,9.2,729
"180",2000-03-28,9.225,518
"181",2000-03-29,9.325,518
"182",2000-03-30,NA,455
"183",2000-03-31,NA,382
"184",2000-04-01,9.95,308
"185",2000-04-02,10.4,278
"186",2000-04-03,10.65,280
"187",2000-04-04,10.875,481
"188",2000-04-05,10.15,964
"189",2000-04-06,10.225,1080
"190",2000-04-07,10.35,894
"191",2000-04-08,10.45,595
