"","Date","meanT","meanD"
"1",2017-10-01,15.5,207
"2",2017-10-02,15.525,207
"3",2017-10-03,15.875,207
"4",2017-10-04,16.075,207
"5",2017-10-05,16.1,206
"6",2017-10-06,16.625,206
"7",2017-10-07,16.85,207
"8",2017-10-08,17.65,207
"9",2017-10-09,17.75,207
"10",2017-10-10,17.6,207
"11",2017-10-11,17.8,207
"12",2017-10-12,17.425,207
"13",2017-10-13,16.975,207
"14",2017-10-14,17.1,198
"15",2017-10-15,17.275,194
"16",2017-10-16,16.5,194
"17",2017-10-17,15.275,194
"18",2017-10-18,14.95,747
"19",2017-10-19,15.3,191
"20",2017-10-20,15.725,191
"21",2017-10-21,16.225,190
"22",2017-10-22,16.475,190
"23",2017-10-23,16.625,190
"24",2017-10-24,16.45,191
"25",2017-10-25,15.45,191
"26",2017-10-26,14.75,191
"27",2017-10-27,14.6,191
"28",2017-10-28,15.2,191
"29",2017-10-29,14.825,191
"30",2017-10-30,13.95,191
"31",2017-10-31,13.9,173
"32",2017-11-01,13.75,164
"33",2017-11-02,14.5,161
"34",2017-11-03,14.85,160
"35",2017-11-04,14.75,159
"36",2017-11-05,14.6,159
"37",2017-11-06,14.9,160
"38",2017-11-07,14.3,161
"39",2017-11-08,13.45,161
"40",2017-11-09,13.275,161
"41",2017-11-10,12.575,161
"42",2017-11-11,11.5,161
"43",2017-11-12,11.275,161
"44",2017-11-13,12.05,161
"45",2017-11-14,12.175,161
"46",2017-11-15,11.375,161
"47",2017-11-16,11.875,161
"48",2017-11-17,11.325,161
"49",2017-11-18,11.325,161
"50",2017-11-19,11.55,162
"51",2017-11-20,10.55,162
"52",2017-11-21,10,162
"53",2017-11-22,10.7,162
"54",2017-11-23,9.675,161
"55",2017-11-24,9.425,161
"56",2017-11-25,9.775,161
"57",2017-11-26,10.05,161
"58",2017-11-27,9.275,161
"59",2017-11-28,9.45,163
"60",2017-11-29,9.375,162
"61",2017-11-30,9.8,156
"62",2017-12-01,10,151
"63",2017-12-02,9.6,151
"64",2017-12-03,9.55,151
"65",2017-12-04,9.075,150
"66",2017-12-05,9.375,151
"67",2017-12-06,9.425,151
"68",2017-12-07,8.75,151
"69",2017-12-08,8.25,151
"70",2017-12-09,8.025,151
"71",2017-12-10,7.675,151
"72",2017-12-11,7.575,151
"73",2017-12-12,7.275,150
"74",2017-12-13,6.2,151
"75",2017-12-14,6.775,151
"76",2017-12-15,6.725,151
"77",2017-12-16,6.55,150
"78",2017-12-17,6.625,151
"79",2017-12-18,7.6,150
"80",2017-12-19,8.4,150
"81",2017-12-20,8.1,150
"82",2017-12-21,7.125,150
"83",2017-12-22,7.3,150
"84",2017-12-23,8.225,150
"85",2017-12-24,7.825,150
"86",2017-12-25,6.325,150
"87",2017-12-26,5.225,150
"88",2017-12-27,5.2,150
"89",2017-12-28,4.25,149
"90",2017-12-29,4.2,148
"91",2017-12-30,4.575,149
"92",2017-12-31,3.825,148
