"","Date","meanT","meanD"
"1",2020-10-01,16.75,225
"2",2020-10-02,16.75,208
"3",2020-10-03,16.3,201
"4",2020-10-04,16.35,201
"5",2020-10-05,16.775,200
"6",2020-10-06,16.475,201
"7",2020-10-07,16.85,200
"8",2020-10-08,17.275,201
"9",2020-10-09,16.625,200
"10",2020-10-10,16.725,201
"11",2020-10-11,17.075,200
"12",2020-10-12,17.45,201
"13",2020-10-13,17.525,201
"14",2020-10-14,16.95,770
"15",2020-10-15,16.75,199
"16",2020-10-16,16.55,196
"17",2020-10-17,15.475,194
"18",2020-10-18,15.375,194
"19",2020-10-19,15.975,194
"20",2020-10-20,16.65,194
"21",2020-10-21,17.175,194
"22",2020-10-22,17.025,194
"23",2020-10-23,17.1,194
"24",2020-10-24,17.1,194
"25",2020-10-25,16.675,195
"26",2020-10-26,16.525,194
"27",2020-10-27,17.15,194
"28",2020-10-28,16.8,194
"29",2020-10-29,17,196
"30",2020-10-30,16.025,197
"31",2020-10-31,14.65,197
"32",2020-11-01,14.475,197
"33",2020-11-02,13.65,197
"34",2020-11-03,13.525,197
"35",2020-11-04,14,197
"36",2020-11-05,14.15,197
"37",2020-11-06,14.2,176
"38",2020-11-07,13.775,167
"39",2020-11-08,13.775,166
"40",2020-11-09,14.175,164
"41",2020-11-10,15,164
"42",2020-11-11,15.45,165
"43",2020-11-12,15.025,165
"44",2020-11-13,14.575,718
"45",2020-11-14,14.525,1160
"46",2020-11-15,14.675,1160
"47",2020-11-16,14.225,1160
"48",2020-11-17,13.6,802
"49",2020-11-18,12.975,442
"50",2020-11-19,12.375,270
"51",2020-11-20,12.4,241
"52",2020-11-21,13,241
"53",2020-11-22,13.35,241
"54",2020-11-23,12.95,241
"55",2020-11-24,11.975,241
"56",2020-11-25,12.15,241
"57",2020-11-26,12.925,241
"58",2020-11-27,12.575,192
"59",2020-11-28,11.775,164
"60",2020-11-29,11.05,165
"61",2020-11-30,11.575,165
"62",2020-12-01,10.875,428
"63",2020-12-02,11,745
"64",2020-12-03,11.05,817
"65",2020-12-04,11.4,816
"66",2020-12-05,11.2,815
"67",2020-12-06,10.825,815
"68",2020-12-07,NA,683
"69",2020-12-08,9.925,612
"70",2020-12-09,9.725,611
"71",2020-12-10,9.875,612
"72",2020-12-11,9.85,474
"73",2020-12-12,10.025,394
"74",2020-12-13,10.35,394
"75",2020-12-14,9.725,398
"76",2020-12-15,9,653
"77",2020-12-16,8.775,821
"78",2020-12-17,8.95,1110
"79",2020-12-18,8.875,1280
"80",2020-12-19,8.75,1280
"81",2020-12-20,8.875,846
"82",2020-12-21,8.8,501
"83",2020-12-22,8.525,528
"84",2020-12-23,NA,605
"85",2020-12-24,8.5,605
"86",2020-12-25,7.775,854
"87",2020-12-26,7.3,2580
"88",2020-12-27,7.65,3200
"89",2020-12-28,7.7,1990
"90",2020-12-29,7.525,1170
"91",2020-12-30,7.35,834
"92",2020-12-31,7.7,601
"93",2021-01-01,7.625,602
"94",2021-01-02,7.55,605
"95",2021-01-03,7.55,859
"96",2021-01-04,6.975,1950
"97",2021-01-05,6.75,2160
"98",2021-01-06,6.95,1380
"99",2021-01-07,6.9,775
"100",2021-01-08,6.825,605
"101",2021-01-09,6.6,605
"102",2021-01-10,6.2,542
"103",2021-01-11,6.025,436
"104",2021-01-12,6.175,394
"105",2021-01-13,5.8,337
"106",2021-01-14,5.725,289
"107",2021-01-15,5.775,289
"108",2021-01-16,6,290
"109",2021-01-17,5.875,290
"110",2021-01-18,5.85,290
"111",2021-01-19,5.95,244
"112",2021-01-20,5.675,198
"113",2021-01-21,5.5,204
"114",2021-01-22,5.6,203
"115",2021-01-23,5.2,203
"116",2021-01-24,4.85,203
"117",2021-01-25,5.375,204
"118",2021-01-26,5.975,205
"119",2021-01-27,6.225,738
"120",2021-01-28,5.475,1170
"121",2021-01-29,5.1,1160
"122",2021-01-30,5.05,890
"123",2021-01-31,5.075,704
"124",2021-02-01,5.3,514
"125",2021-02-02,5.15,394
"126",2021-02-03,4.675,329
"127",2021-02-04,4.675,290
"128",2021-02-05,5.5,227
"129",2021-02-06,5.175,191
"130",2021-02-07,NA,191
"131",2021-02-08,4.575,253
"132",2021-02-09,5.175,290
"133",2021-02-10,5.525,290
"134",2021-02-11,NA,290
"135",2021-02-12,4.825,356
"136",2021-02-13,4.95,399
"137",2021-02-14,5.175,609
"138",2021-02-15,5.075,814
"139",2021-02-16,5,814
"140",2021-02-17,4.675,815
"141",2021-02-18,NA,820
"142",2021-02-19,NA,1720
"143",2021-02-20,NA,2500
"144",2021-02-21,4.325,2160
"145",2021-02-22,4.45,1490
"146",2021-02-23,4.825,1020
"147",2021-02-24,NA,907
"148",2021-02-25,NA,857
"149",2021-02-26,NA,814
"150",2021-02-27,NA,814
"151",2021-02-28,NA,819
"152",2021-03-01,NA,1010
"153",2021-03-02,5.225,3370
"154",2021-03-03,5,5720
"155",2021-03-04,5.2,5560
"156",2021-03-05,5.325,4750
"157",2021-03-06,5.575,2970
"158",2021-03-07,5.575,1110
"159",2021-03-08,5.85,374
"160",2021-03-09,6.4,294
"161",2021-03-10,6.725,294
"162",2021-03-11,7.25,294
"163",2021-03-12,7.725,357
"164",2021-03-13,7.15,397
"165",2021-03-14,6.725,398
"166",2021-03-15,7,398
"167",2021-03-16,7.05,399
"168",2021-03-17,7.425,399
"169",2021-03-18,7.575,399
"170",2021-03-19,7.5,472
"171",2021-03-20,7.225,576
"172",2021-03-21,7.375,677
"173",2021-03-22,7.475,645
"174",2021-03-23,7.575,544
"175",2021-03-24,8.225,510
"176",2021-03-25,8.2,511
"177",2021-03-26,9.15,512
"178",2021-03-27,8.775,513
"179",2021-03-28,8.625,515
"180",2021-03-29,9.125,515
"181",2021-03-30,8.75,515
"182",2021-03-31,8.95,713
"183",2021-04-01,8.8,1050
"184",2021-04-02,8.775,1180
"185",2021-04-03,8.375,1430
"186",2021-04-04,8.4,1370
"187",2021-04-05,9.325,808
"188",2021-04-06,9.525,551
"189",2021-04-07,9.85,457
