"","Date","meanT","meanD"
"1",2009-10-01,14.6,230
"2",2009-10-02,14.65,200
"3",2009-10-03,15.225,184
"4",2009-10-04,14.775,184
"5",2009-10-05,15,193
"6",2009-10-06,14.6,211
"7",2009-10-07,15.05,211
"8",2009-10-08,14.65,211
"9",2009-10-09,15.25,211
"10",2009-10-10,15.525,211
"11",2009-10-11,14.7,211
"12",2009-10-12,14.45,211
"13",2009-10-13,14.5,201
"14",2009-10-14,14.05,195
"15",2009-10-15,13.4,184
"16",2009-10-16,13.825,192
"17",2009-10-17,13.55,192
"18",2009-10-18,13,192
"19",2009-10-19,13.175,183
"20",2009-10-20,13.925,195
"21",2009-10-21,14.6,201
"22",2009-10-22,14.75,201
"23",2009-10-23,15.1,262
"24",2009-10-24,15.975,303
"25",2009-10-25,15.2,362
"26",2009-10-26,14.35,340
"27",2009-10-27,14.825,304
"28",2009-10-28,14.825,620
"29",2009-10-29,14.75,774
"30",2009-10-30,14.725,537
"31",2009-10-31,14.9,456
"32",2009-11-01,14.7,519
"33",2009-11-02,14.35,561
"34",2009-11-03,14.025,561
"35",2009-11-04,13.525,477
"36",2009-11-05,13.325,334
"37",2009-11-06,12.875,244
"38",2009-11-07,12.675,199
"39",2009-11-08,13.075,199
"40",2009-11-09,13.3,181
"41",2009-11-10,13.275,167
"42",2009-11-11,12.55,170
"43",2009-11-12,12.075,556
"44",2009-11-13,12.675,1360
"45",2009-11-14,13.075,1240
"46",2009-11-15,12.925,623
"47",2009-11-16,12.55,275
"48",2009-11-17,12.45,199
"49",2009-11-18,12.125,199
"50",2009-11-19,12.5,199
"51",2009-11-20,12.25,283
"52",2009-11-21,11.7,626
"53",2009-11-22,11.7,675
"54",2009-11-23,11.8,491
"55",2009-11-24,12.05,369
"56",2009-11-25,11.975,332
"57",2009-11-26,11.375,332
"58",2009-11-27,10.8,332
"59",2009-11-28,10.375,332
"60",2009-11-29,10.55,332
"61",2009-11-30,10.75,244
"62",2009-12-01,9.95,199
"63",2009-12-02,10.125,199
"64",2009-12-03,10.45,1320
"65",2009-12-04,10.5,2310
"66",2009-12-05,10.15,1390
"67",2009-12-06,9.65,811
"68",2009-12-07,9.5,521
"69",2009-12-08,9.475,332
"70",2009-12-09,9.2,678
"71",2009-12-10,9.075,3180
"72",2009-12-11,8.775,4460
"73",2009-12-12,8.6,3020
"74",2009-12-13,8.675,1240
"75",2009-12-14,8.625,540
"76",2009-12-15,8.475,783
"77",2009-12-16,7.95,936
"78",2009-12-17,7.525,670
"79",2009-12-18,6.95,519
"80",2009-12-19,6.4,519
"81",2009-12-20,7.175,519
"82",2009-12-21,6.9,801
"83",2009-12-22,7.175,645
"84",2009-12-23,6.925,386
"85",2009-12-24,6.65,344
"86",2009-12-25,6.85,344
"87",2009-12-26,7.125,765
"88",2009-12-27,6.65,1690
"89",2009-12-28,6.55,2050
"90",2009-12-29,6.175,1310
"91",2009-12-30,5.875,830
"92",2009-12-31,6.05,601
"93",2010-01-01,6.25,451
"94",2010-01-02,5.425,451
"95",2010-01-03,4.675,387
"96",2010-01-04,4.525,349
"97",2010-01-05,4.775,348
"98",2010-01-06,4.6,349
"99",2010-01-07,4.475,292
"100",2010-01-08,4.2,207
"101",2010-01-09,3.35,201
"102",2010-01-10,3.1,193
"103",2010-01-11,3.1,193
"104",2010-01-12,3.8,193
"105",2010-01-13,3.275,193
"106",2010-01-14,3.575,188
"107",2010-01-15,4.1,184
"108",2010-01-16,4.85,184
"109",2010-01-17,4.9,184
"110",2010-01-18,5.125,186
"111",2010-01-19,5.3,187
"112",2010-01-20,5.825,188
"113",2010-01-21,5.5,187
"114",2010-01-22,5.35,184
"115",2010-01-23,5.775,187
"116",2010-01-24,5.7,187
"117",2010-01-25,6.575,198
"118",2010-01-26,5.75,705
"119",2010-01-27,4.725,1960
"120",2010-01-28,4.675,2020
"121",2010-01-29,4.35,1290
"122",2010-01-30,4.15,1090
"123",2010-01-31,4.325,687
"124",2010-02-01,4.3,438
"125",2010-02-02,4.65,438
"126",2010-02-03,5,437
"127",2010-02-04,4.925,437
"128",2010-02-05,4.575,438
