"","Date","meanT","meanD"
"1",2006-10-01,14.725,215
"2",2006-10-02,14.95,198
"3",2006-10-03,15.35,198
"4",2006-10-04,15.775,198
"5",2006-10-05,16,199
"6",2006-10-06,15.15,202
"7",2006-10-07,14.175,201
"8",2006-10-08,14.8,201
"9",2006-10-09,15.2,201
"10",2006-10-10,15.15,201
"11",2006-10-11,14.95,202
"12",2006-10-12,14.55,207
"13",2006-10-13,13.475,207
"14",2006-10-14,13.025,207
"15",2006-10-15,12.95,206
"16",2006-10-16,13.35,204
"17",2006-10-17,13.625,205
"18",2006-10-18,14.55,207
"19",2006-10-19,14.825,207
"20",2006-10-20,14.55,207
"21",2006-10-21,13.65,207
"22",2006-10-22,13.55,207
"23",2006-10-23,13.025,207
"24",2006-10-24,12.35,207
"25",2006-10-25,13.1,646
"26",2006-10-26,13.725,477
"27",2006-10-27,NA,198
"28",2006-10-28,NA,198
"29",2006-10-29,12.725,200
"30",2006-10-30,12.925,201
"31",2006-10-31,13.275,201
"32",2006-11-01,14,166
"33",2006-11-02,13.05,173
"34",2006-11-03,11.725,173
"35",2006-11-04,10.875,173
"36",2006-11-05,11.15,173
"37",2006-11-06,11.7,173
"38",2006-11-07,11.575,173
"39",2006-11-08,12.05,173
"40",2006-11-09,12.725,173
"41",2006-11-10,12.3,173
"42",2006-11-11,12.55,173
"43",2006-11-12,12.225,175
"44",2006-11-13,11.725,175
"45",2006-11-14,11.7,175
"46",2006-11-15,11.25,170
"47",2006-11-16,11.75,167
"48",2006-11-17,11.525,1370
"49",2006-11-18,11.45,2610
"50",2006-11-19,11.525,2320
"51",2006-11-20,11.3,1650
"52",2006-11-21,11.125,1160
"53",2006-11-22,10.95,629
"54",2006-11-23,11.15,503
"55",2006-11-24,10.95,418
"56",2006-11-25,10.6,359
"57",2006-11-26,10.575,359
"58",2006-11-27,10.575,258
"59",2006-11-28,10.5,201
"60",2006-11-29,11.025,201
"61",2006-11-30,11.65,201
"62",2006-12-01,12.075,201
"63",2006-12-02,10.725,201
"64",2006-12-03,9.825,201
"65",2006-12-04,9.225,202
"66",2006-12-05,8.75,178
"67",2006-12-06,8.55,164
"68",2006-12-07,8.675,164
"69",2006-12-08,7.625,164
"70",2006-12-09,7.2,164
"71",2006-12-10,7.675,164
"72",2006-12-11,8.175,164
"73",2006-12-12,8.15,164
"74",2006-12-13,8.7,164
"75",2006-12-14,8.8,164
"76",2006-12-15,8.575,164
"77",2006-12-16,8.45,164
"78",2006-12-17,8.475,164
"79",2006-12-18,8.8,164
"80",2006-12-19,9.375,164
"81",2006-12-20,8.5,164
"82",2006-12-21,8.425,164
"83",2006-12-22,8.975,164
"84",2006-12-23,9.05,764
"85",2006-12-24,8.4,1140
"86",2006-12-25,NA,1140
"87",2006-12-26,8.45,1140
"88",2006-12-27,8.15,1140
"89",2006-12-28,8,860
"90",2006-12-29,7.775,583
"91",2006-12-30,7.675,508
"92",2006-12-31,8.075,508
"93",2007-01-01,8.1,908
"94",2007-01-02,7.825,1140
"95",2007-01-03,7.525,1140
"96",2007-01-04,7.525,1130
"97",2007-01-05,7.95,1060
"98",2007-01-06,8.25,1140
"99",2007-01-07,8.075,790
"100",2007-01-08,7.925,763
"101",2007-01-09,7.325,2380
"102",2007-01-10,7.15,3160
"103",2007-01-11,7,2400
"104",2007-01-12,7.125,1310
"105",2007-01-13,7.35,693
"106",2007-01-14,7.875,692
"107",2007-01-15,7.8,692
"108",2007-01-16,7.55,398
"109",2007-01-17,6.475,205
"110",2007-01-18,6.125,204
"111",2007-01-19,6.45,268
"112",2007-01-20,5.8,308
"113",2007-01-21,5.425,308
"114",2007-01-22,5.85,308
"115",2007-01-23,5.775,308
"116",2007-01-24,5.425,285
"117",2007-01-25,5.15,270
"118",2007-01-26,4.525,234
"119",2007-01-27,5.15,210
"120",2007-01-28,5.4,210
"121",2007-01-29,4.425,211
"122",2007-01-30,4.275,211
"123",2007-01-31,4.15,211
"124",2007-02-01,4.35,191
"125",2007-02-02,4.75,175
"126",2007-02-03,4.375,175
"127",2007-02-04,4.075,175
"128",2007-02-05,3.375,175
"129",2007-02-06,3.05,175
"130",2007-02-07,3.425,175
"131",2007-02-08,3.3,175
"132",2007-02-09,3.075,175
"133",2007-02-10,3.225,175
"134",2007-02-11,3.025,175
"135",2007-02-12,3.475,175
