"","Date","meanT.x","maxD","meanT.y","Year","MeanT"
"1",2012-10-01,15.1725,246,16.32875,"2012",15.750625
"2",2012-10-02,15.1864583333333,193,15.9989583333333,"2012",15.5927083333333
"3",2012-10-03,14.6291666666667,3500,16.853125,"2012",15.7411458333333
"4",2012-10-04,15.0041666666667,196,16.7864583333333,"2012",15.8953125
"5",2012-10-05,14.9489583333333,196,17.2447916666667,"2012",16.096875
"6",2012-10-06,14.8635416666667,196,16.8510416666667,"2012",15.8572916666667
"7",2012-10-07,14.6385416666667,196,14.609375,"2012",14.6239583333333
"8",2012-10-08,14.4125,196,12.59375,"2012",13.503125
"9",2012-10-09,14.5574795081967,NA,12.8635416666667,"2012",13.7105105874317
"10",2012-10-10,14.7024590163934,NA,14.0666666666667,"2012",14.3845628415301
"11",2012-10-11,14.8474385245902,NA,13.496875,"2012",14.1721567622951
"12",2012-10-12,14.9924180327869,NA,13.4677083333333,"2012",14.2300631830601
"13",2012-10-13,15.1373975409836,NA,13.6197916666667,"2012",14.3785946038251
"14",2012-10-14,15.2823770491803,NA,13.7229166666667,"2012",14.5026468579235
"15",2012-10-15,15.427356557377,NA,15.4447916666667,"2012",15.4360741120219
"16",2012-10-16,15.5723360655738,NA,14.8645833333333,"2012",15.2184596994536
"17",2012-10-17,15.7173155737705,NA,13.8822916666667,"2012",14.7998036202186
"18",2012-10-18,15.8622950819672,196,14.0875,"2012",14.9748975409836
"19",2012-10-19,15.8708333333333,196,15.3822916666667,"2012",15.6265625
"20",2012-10-20,15.7694444444444,193,15.0375,"2012",15.4034722222222
"21",2012-10-21,15.4777777777778,193,13.6354166666667,"2012",14.5565972222222
"22",2012-10-22,15.4356164383562,193,13.5,"2012",14.4678082191781
"23",2012-10-23,15.5345238095238,193,14.6135416666667,"2012",15.0740327380952
"24",2012-10-24,15.6263888888889,193,15.6635416666667,"2012",15.6449652777778
"25",2012-10-25,15.5569444444444,193,15.6552083333333,"2012",15.6060763888889
"26",2012-10-26,15.5291666666667,193,15.8677083333333,"2012",15.6984375
