"","Date","meanT.x","maxD","meanT.y","Year","MeanT"
"1",2017-10-01,15.85,207,15.23875,"2017",15.544375
"2",2017-10-02,15.89375,207,15.1052083333333,"2017",15.4994791666667
"3",2017-10-03,15.7479166666667,207,15.6885416666667,"2017",15.7182291666667
"4",2017-10-04,15.796875,207,16.1447916666667,"2017",15.9708333333333
"5",2017-10-05,15.9020833333333,207,16.3177083333333,"2017",16.1098958333333
"6",2017-10-06,16.0041666666667,207,16.9072916666667,"2017",16.4557291666667
"7",2017-10-07,16.1270833333333,207,17.465625,"2017",16.7963541666667
"8",2017-10-08,16.3291666666667,207,18.6854166666667,"2017",17.5072916666667
"9",2017-10-09,16.1552083333333,213,19.1395833333333,"2017",17.6473958333333
"10",2017-10-10,15.859375,207,19.2729166666667,"2017",17.5661458333333
"11",2017-10-11,15.9270833333333,207,19.428125,"2017",17.6776041666667
"12",2017-10-12,16.040625,207,18.9572916666667,"2017",17.4989583333333
"13",2017-10-13,16.0895833333333,207,18.0114583333333,"2017",17.0505208333333
"14",2017-10-14,16.171875,207,17.6833333333333,"2017",16.9276041666667
"15",2017-10-15,16.265625,194,18.265625,"2017",17.265625
"16",2017-10-16,16.2739583333333,194,17.6729166666667,"2017",16.9734375
"17",2017-10-17,16.1510416666667,194,14.63125,"2017",15.3911458333333
"18",2017-10-18,15.740625,3420,14.2375,"2017",14.9890625
"19",2017-10-19,16.4177083333333,191,14.3416666666667,"2017",15.3796875
"20",2017-10-20,16.5135416666667,191,14.8291666666667,"2017",15.6713541666667
"21",2017-10-21,16.625,191,15.5979166666667,"2017",16.1114583333333
"22",2017-10-22,16.6770833333333,191,16.125,"2017",16.4010416666667
"23",2017-10-23,16.7427083333333,194,16.4447916666667,"2017",16.59375
"24",2017-10-24,16.7208333333333,200,16.1770833333333,"2017",16.4489583333333
"25",2017-10-25,16.5833333333333,191,14.459375,"2017",15.5213541666667
"26",2017-10-26,16.65,191,12.878125,"2017",14.7640625
"27",2017-10-27,16.7177083333333,191,12.5385416666667,"2017",14.628125
"28",2017-10-28,16.6520833333333,191,13.6072916666667,"2017",15.1296875
"29",2017-10-29,16.4635416666667,191,14.0322916666667,"2017",15.2479166666667
"30",2017-10-30,16.2604166666667,191,11.925,"2017",14.0927083333333
"31",2017-10-31,15.809375,191,12.2,"2017",14.0046875
"32",2017-11-01,15.4927083333333,164,12.1604166666667,"2017",13.8265625
"33",2017-11-02,15.3604166666667,164,13.1010416666667,"2017",14.2307291666667
"34",2017-11-03,15.171875,164,14.4395833333333,"2017",14.8057291666667
"35",2017-11-04,15.0041666666667,161,14.9833333333333,"2017",14.99375
"36",2017-11-05,14.890625,161,14.19375,"2017",14.5421875
"37",2017-11-06,14.7822916666667,161,14.8125,"2017",14.7973958333333
"38",2017-11-07,14.7260416666667,161,14.4427083333333,"2017",14.584375
"39",2017-11-08,14.6135416666667,161,12.425,"2017",13.5192708333333
"40",2017-11-09,14.5135416666667,161,11.8552083333333,"2017",13.184375
"41",2017-11-10,14.2427083333333,161,11.4854166666667,"2017",12.8640625
"42",2017-11-11,13.9375,161,9.32604166666667,"2017",11.6317708333333
"43",2017-11-12,13.8135416666667,161,8.60208333333333,"2017",11.2078125
"44",2017-11-13,13.8458333333333,161,10.015625,"2017",11.9307291666667
"45",2017-11-14,13.721875,161,10.828125,"2017",12.275
"46",2017-11-15,13.2947916666667,161,9.784375,"2017",11.5395833333333
"47",2017-11-16,13.3239583333333,161,10.2072916666667,"2017",11.765625
"48",2017-11-17,13.009375,161,9.96979166666667,"2017",11.4895833333333
"49",2017-11-18,12.996875,161,9.27083333333333,"2017",11.1338541666667
"50",2017-11-19,12.971875,164,10.5666666666667,"2017",11.7692708333333
"51",2017-11-20,12.4270833333333,164,8.93020833333333,"2017",10.6786458333333
"52",2017-11-21,12.209375,164,7.90833333333333,"2017",10.0588541666667
"53",2017-11-22,12.2229166666667,164,8.99791666666667,"2017",10.6104166666667
"54",2017-11-23,11.8125,161,7.884375,"2017",9.8484375
"55",2017-11-24,11.6354166666667,161,7.22604166666667,"2017",9.43072916666667
"56",2017-11-25,11.5895833333333,161,7.77708333333333,"2017",9.68333333333333
"57",2017-11-26,11.4510416666667,161,8.60833333333333,"2017",10.0296875
"58",2017-11-27,11.1447916666667,161,7.740625,"2017",9.44270833333333
"59",2017-11-28,11.0833333333333,167,7.81979166666667,"2017",9.4515625
"60",2017-11-29,10.9510416666667,164,7.90104166666667,"2017",9.42604166666667
"61",2017-11-30,10.93125,164,8.49166666666667,"2017",9.71145833333333
"62",2017-12-01,10.834375,153,9.346875,"2017",10.090625
"63",2017-12-02,10.7354166666667,153,8.43854166666667,"2017",9.58697916666667
"64",2017-12-03,10.6427083333333,153,8.49895833333333,"2017",9.57083333333333
"65",2017-12-04,10.4447916666667,150,7.93958333333333,"2017",9.1921875
"66",2017-12-05,10.4958333333333,153,7.90729166666667,"2017",9.2015625
"67",2017-12-06,10.4677083333333,153,8.79166666666667,"2017",9.6296875
"68",2017-12-07,10.21875,150,7.51041666666667,"2017",8.86458333333333
"69",2017-12-08,10.053125,153,6.575,"2017",8.3140625
"70",2017-12-09,9.90625,153,6.15833333333333,"2017",8.03229166666667
"71",2017-12-10,9.696875,153,5.70104166666667,"2017",7.69895833333333
"72",2017-12-11,9.559375,153,5.515625,"2017",7.5375
"73",2017-12-12,9.44375,153,5.85833333333333,"2017",7.65104166666667
"74",2017-12-13,8.83333333333333,153,3.840625,"2017",6.33697916666667
"75",2017-12-14,8.84479166666667,153,4.41145833333333,"2017",6.628125
