"","Date","meanT.x","maxD","meanT.y","Year","MeanT"
"1",2014-10-01,15.9275,219,17.5723684210526,"2014",16.7499342105263
"2",2014-10-02,15.8895833333333,203,17.21875,"2014",16.5541666666667
"3",2014-10-03,15.8677083333333,203,17.4875,"2014",16.6776041666667
"4",2014-10-04,15.85625,203,16.9364583333333,"2014",16.3963541666667
"5",2014-10-05,15.4770833333333,203,14.1010416666667,"2014",14.7890625
"6",2014-10-06,15.4958333333333,206,13.7520833333333,"2014",14.6239583333333
"7",2014-10-07,15.6791666666667,206,15.1885416666667,"2014",15.4338541666667
"8",2014-10-08,15.7416666666667,203,15.8489583333333,"2014",15.7953125
"9",2014-10-09,15.7958333333333,206,15.7947916666667,"2014",15.7953125
"10",2014-10-10,16.6979166666667,206,15.365625,"2014",16.0317708333333
"11",2014-10-11,16.7833333333333,206,15.9083333333333,"2014",16.3458333333333
"12",2014-10-12,16.7854166666667,206,15.94375,"2014",16.3645833333333
"13",2014-10-13,16.7208333333333,206,15.5354166666667,"2014",16.128125
"14",2014-10-14,16.7354166666667,206,17.0895833333333,"2014",16.9125
"15",2014-10-15,16.703125,212,17.321875,"2014",17.0125
"16",2014-10-16,16.759375,209,16.1677083333333,"2014",16.4635416666667
"17",2014-10-17,16.6395833333333,206,16.0072916666667,"2014",16.3234375
"18",2014-10-18,16.6979166666667,206,16.0083333333333,"2014",16.353125
"19",2014-10-19,16.5802083333333,206,14.3177083333333,"2014",15.4489583333333
"20",2014-10-20,16.3510416666667,206,13.79375,"2014",15.0723958333333
"21",2014-10-21,16.2583333333333,203,14.4510416666667,"2014",15.3546875
"22",2014-10-22,16.28125,203,13.8583333333333,"2014",15.0697916666667
"23",2014-10-23,16.184375,206,13.6489583333333,"2014",14.9166666666667
"24",2014-10-24,15.8520833333333,206,13.665625,"2014",14.7588541666667
"25",2014-10-25,15.6447916666667,206,13.409375,"2014",14.5270833333333
"26",2014-10-26,15.734375,203,14.3958333333333,"2014",15.0651041666667
"27",2014-10-27,15.4604166666667,206,13.3645833333333,"2014",14.4125
"28",2014-10-28,15.50625,206,14.3635416666667,"2014",14.9348958333333
"29",2014-10-29,15.6479166666667,206,15.075,"2014",15.3614583333333
"30",2014-10-30,15.34375,203,13.0333333333333,"2014",14.1885416666667
"31",2014-10-31,15.05,206,11.7177083333333,"2014",13.3838541666667
"32",2014-11-01,14.8822916666667,203,11.7104166666667,"2014",13.2963541666667
"33",2014-11-02,14.240625,164,10.3447916666667,"2014",12.2927083333333
"34",2014-11-03,13.8614583333333,164,9.490625,"2014",11.6760416666667
"35",2014-11-04,13.8770833333333,161,10.55,"2014",12.2135416666667
"36",2014-11-05,13.8822916666667,164,12.0916666666667,"2014",12.9869791666667
"37",2014-11-06,13.8583333333333,161,12.9385416666667,"2014",13.3984375
"38",2014-11-07,13.6229166666667,164,12.0427083333333,"2014",12.8328125
"39",2014-11-08,13.1583333333333,164,9.796875,"2014",11.4776041666667
"40",2014-11-09,13.0604166666667,161,10.2239583333333,"2014",11.6421875
"41",2014-11-10,12.90625,164,10.2947916666667,"2014",11.6005208333333
"42",2014-11-11,12.7989583333333,164,10.525,"2014",11.6619791666667
"43",2014-11-12,12.7708333333333,164,10.7739583333333,"2014",11.7723958333333
"44",2014-11-13,12.6666666666667,161,10.0260416666667,"2014",11.3463541666667
"45",2014-11-14,12.203125,164,8.08645833333333,"2014",10.1447916666667
"46",2014-11-15,11.7239583333333,161,6.56354166666667,"2014",9.14375
"47",2014-11-16,11.753125,161,7.17083333333333,"2014",9.46197916666667
"48",2014-11-17,11.6541666666667,161,8.42604166666667,"2014",10.0401041666667
"49",2014-11-18,11.0041666666667,161,6.925,"2014",8.96458333333333
"50",2014-11-19,10.5395833333333,161,4.59791666666667,"2014",7.56875
"51",2014-11-20,10.5739583333333,161,5.63125,"2014",8.10260416666667
"52",2014-11-21,10.2239583333333,161,6.17083333333333,"2014",8.19739583333333
"53",2014-11-22,9.96145833333333,161,5.41354166666667,"2014",7.6875
"54",2014-11-23,9.94270833333333,158,6.259375,"2014",8.10104166666667
"55",2014-11-24,10.0041666666667,161,8.89375,"2014",9.44895833333333
"56",2014-11-25,9.94375,158,10.253125,"2014",10.0984375
"57",2014-11-26,9.48229166666667,161,8.08333333333333,"2014",8.7828125
"58",2014-11-27,9.33645833333333,158,6.90416666666667,"2014",8.1203125
"59",2014-11-28,9.096875,161,6.72083333333333,"2014",7.90885416666667
"60",2014-11-29,8.85208333333333,158,5.97708333333333,"2014",7.41458333333333
"61",2014-11-30,8.93020833333333,158,6.85625,"2014",7.89322916666667
"62",2014-12-01,9.1,158,8.94791666666667,"2014",9.02395833333333
"63",2014-12-02,8.98854166666667,161,9.359375,"2014",9.17395833333333
"64",2014-12-03,8.90416666666667,161,8.11145833333333,"2014",8.5078125
"65",2014-12-04,8.834375,161,7.946875,"2014",8.390625
"66",2014-12-05,8.78229166666667,161,8.25729166666667,"2014",8.51979166666667
"67",2014-12-06,8.746875,158,8.40833333333333,"2014",8.57760416666667
"68",2014-12-07,8.59895833333333,161,8.20208333333333,"2014",8.40052083333333
"69",2014-12-08,8.38333333333333,161,6.61770833333333,"2014",7.50052083333333
"70",2014-12-09,8.384375,161,6.59895833333333,"2014",7.49166666666667
"71",2014-12-10,8.34166666666667,164,7.80104166666667,"2014",8.07135416666667
"72",2014-12-11,8.040625,161,6.396875,"2014",7.21875
"73",2014-12-12,7.87916666666667,164,5.62916666666667,"2014",6.75416666666667
"74",2014-12-13,7.8375,161,5.62395833333333,"2014",6.73072916666667
